曲管理番号	バージョン	曲名	Diff	Lv
1445	CANNON BALLERS	純真可憐デザイア	L	11
1446	SIRIUS	たからもの	L	11
1447	RESIDENT	チェイスチェイスジョーカーズのうた (オニスタイルリミックス)	A	11
1448	PENDUAL	Ｘ↑Ｘ↓	A	11
1449	SINOBUZ	ディッシュウォッシャー◎彡おいわちゃん	A	11
1450	PENDUAL	ドッキン☆サマーあばんちゅーる	A	11
1451	EPOLIS	果たせぬ約束 ft. 小林マナ	A	11
1452	HEROIC VERSE	バッドエンド・シンドローム	A	11
1453	Pinky Crush	無双	A	11
1454	copula	明鏡止水	A	11
1455	EPOLIS	めうめうぺったんたん！！ (ZAQUVA Remix)	A	11
1456	Lincle	ユミル	A	11
1457	EPOLIS	ラビットホール	A	11
1458	EMPRESS	凛として咲く花の如く	L	11
1459	HEROIC VERSE	錬成人間トリコロイダー	A	11
1460	Lincle	A MINSTREL ～ ver. short-scape ～	L	12
1461	HEROIC VERSE	AKASHIC BREAK	A	12
1462	Resort Anthem	ALBIDA	A	12
1463	SINOBUZ	Amazing Mirage	L	12
1464	DJ TROOPERS	Anisakis -somatic mutation type"Forza"-	L	12
1465	Sparkle Shower	Astra Blaze	A	12
1466	EMPRESS	B4U(BEMANI FOR YOU MIX)	L	12
1467	PENDUAL	Beat Radiance	L	12
1468	RESIDENT	BIGWAVERS	A	12
1469	EMPRESS	BITTER CHOCOLATE STRIKER	A	12
1470	HEROIC VERSE	Bow shock!!	L	12
1471	SINOBUZ	BroGamer	L	12
1472	HAPPY SKY	CaptivAte～浄化～	L	12
1473	PENDUAL	CHRONO DIVER -NORNIR-	L	12
1474	Rootage	CoMAAAAAAA	L	12
1475	PENDUAL	Cosmic Cat	L	12
1476	SPADA	DARK LEGACY	A	12
1477	PENDUAL	Despair of ELFERIA	A	12
1478	SIRIUS	eRAseRmOToRpHAntOM	A	12
1479	Pinky Crush	EX-MASSIVE FIGHTER	A	12
1480	SIRIUS	G59	A	12
1481	HAPPY SKY	garden	L	12
1482	Rootage	GO OVER WITH GLARE -ROOTAGE 26-	A	12
1483	GOLD	GRID KNIGHT	L	12
1484	Pinky Crush	Here We Go Now	A	12
1485	SPADA	Idola	A	12
1486	HAPPY SKY	INAZUMA	L	12
1487	CANNON BALLERS	Initiation	A	12
1488	SPADA	INSOMNIA	A	12
1489	EPOLIS	JUSTICE/GUILTY feat. Nana Takahashi & 709sec.	A	12
1490	EMPRESS	Kung-fu Empire	L	12
1491	Sparkle Shower	Lisa-RICCIA	A	12
1492	HAPPY SKY	Little Little Princess	L	12
1493	CastHour	LIVE DRIVING!! feat. 花たん	A	12
1494	copula	M4K3 1T B0UNC3	A	12
1495	SIRIUS	mosaic	A	12
1496	PENDUAL	NEO GENERATOR SEVEN	A	12
1497	Lincle	NNRT	A	12
1498	CastHour	One for All	A	12
1499	HEROIC VERSE	Override	L	12
1500	CastHour	PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.	A	12
1501	CANNON BALLERS	Rampage	A	12
1502	PENDUAL	Rave*it!! Rave*it!!	A	12
1503	Sparkle Shower	Regina vespaE	A	12
1504	Resort Anthem	reunion	A	12
1505	RESIDENT	RINИE	A	12
1506	BISTROVER	rommmo	A	12
1507	PENDUAL	Say YEEEAHH	A	12
1508	EMPRESS	Secrets	L	12
1509	EPOLIS	Sirius	A	12
1510	SIRIUS	SOLID STATE SQUAD	L	12
1511	PENDUAL	Sounds Of Summer	A	12
1512	copula	Super Duper Racers	L	12
1513	SINOBUZ	Super Rush	A	12
1514	HEROIC VERSE	THE BRAVE MUST DIE	A	12
1515	DJ TROOPERS	THE DEEP STRIKER	L	12
1516	EPOLIS	The Onlyonez	A	12
1517	EMPRESS	thunder HOUSE NATION Remix	L	12
1518	Lincle	Thunderbolt	A	12
1519	copula	Triple Counter	A	12
1520	SINOBUZ	Venom	A	12
1521	DistorteD	waxing and wanding	L	12
1522	copula	Welcome	L	12
1523	tricoro	仮想空間の旅人たち	L	12
1524	DistorteD	華蝶風雪	L	12
1525	SINOBUZ	九尾狐夜行	A	12
1526	CastHour	グッバイ宣言	L	12
1527	CastHour	逆月	A	12
1528	PENDUAL	#The_Relentless	L	12
1529	SINOBUZ	〆	A	12
1530	Pinky Crush	スパークリング☆彡ハイパーチューン！！	A	12
1531	BISTROVER	世界の果てに約束の凱歌を -ReUnion-	A	12
1532	RESIDENT	ちょえちょえまぎか	L	12
1533	Sparkle Shower	ベンガル vs. アムール Battle	A	12
1534	EPOLIS	《PL|RAYER》	A	12
