アクティブな難易度表: 22ランク
数値ランク数: 21
投票がある楽曲: 236件

変動対象楽曲: 234件
  PROMOTE 12.1 -> 12.2 | CODE:0 (↑1 ↓0)
  DEMOTE  12.1 -> 12.0 | Countdown to Heaven or Hell (↑0 ↓2)
  PROMOTE 12.1 -> 12.2 | Giudecca (↑1 ↓0)
  PROMOTE 12.1 -> 12.2 | GOLD RUSH 2025 (↑1 ↓0)
  DEMOTE  12.1 -> 12.0 | HAPPY★RUSH (↑0 ↓1)
  DEMOTE  12.1 -> 12.0 | King of Tribe (↑0 ↓1)
  PROMOTE 12.1 -> 12.2 | Monkey Business (↑1 ↓0)
  DEMOTE  12.1 -> 12.0 | Nothing but Theory[L] (↑0 ↓2)
  PROMOTE 12.1 -> 12.2 | TOKAKU=ALMiRAJ (↑2 ↓0)
  DEMOTE  12.1 -> 12.0 | グッバイ宣言[L] (↑0 ↓2)
  PROMOTE 12.1 -> 12.2 | 華麗なる！音戯探偵ひなビタ (↑2 ↓0)
  PROMOTE 12.0 -> 12.1 | Boomy and The Boost (↑1 ↓0)
  DEMOTE  12.0 -> 11.9 | CONCEPTUAL (↑0 ↓1)
  PROMOTE 12.0 -> 12.1 | Do it!! Do it!! (↑1 ↓0)
  PROMOTE 12.0 -> 12.1 | NEMESIS (↑1 ↓0)
  PROMOTE 12.0 -> 12.1 | Sense 2007 (↑1 ↓0)
  DEMOTE  12.0 -> 11.9 | Space Battleship S4TO (↑0 ↓1)
  PROMOTE 12.0 -> 12.1 | Usual Days-remix (↑1 ↓0)
  DEMOTE  12.0 -> 11.9 | フォニイ[L] (↑0 ↓1)
  PROMOTE 12.0 -> 12.1 | 爆ぜりゃんせ (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | Angelic Jelly (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | Despair of ELFERIA (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | diagram (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | DRUNK MONKY (↑2 ↓0)
  PROMOTE 11.9 -> 12.0 | Friction[!]Function (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | GAME ON (↑2 ↓0)
  PROMOTE 11.9 -> 12.0 | GLORIOUS HAMMER (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | Halfway of promise (↑2 ↓0)
  PROMOTE 11.9 -> 12.0 | Just a Little Smile (↑2 ↓0)
  PROMOTE 11.9 -> 12.0 | PLEASE DON'T GO (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | POSSESSION (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | RISLIM -Remix- (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | rough percussionythm (↑2 ↓0)
