曲管理番号	バージョン	曲名	Diff	Lv
1043	SPADA	Pharaoh	A	11
1044	CastHour	Pout	A	11
1045	SIRIUS	Programmed Sun	A	11
1046	EMPRESS	Programmed World	A	11
1047	9th style	quasar	A	11
1048	HEROIC VERSE	Queen Kaguya	A	11
1049	3rd style	R5	A	11
1050	8th style	rainbow flyer	A	11
1051	SPADA	rainbow guitar weeps	A	11
1052	IIDX RED	RESONATE 1794	A	11
1053	DJ TROOPERS	Rising in the Sun(original mix)	A	11
1054	9th style	RISLIM -Remix-	A	11
1055	tricoro	S!ck	A	11
1056	PENDUAL	Sakura Mirage	A	11
1057	SINOBUZ	Sarutobi Champion is 拙者	A	11
1058	SPADA	SCHWARZSCHILD FIELD	A	11
1059	HAPPY SKY	Scripted Connection⇒ N mix	L	11
1060	GOLD	Second Heaven	A	11
1061	IIDX RED	Secret of Love	A	11
1062	RESIDENT	Seraph	A	11
1063	SIRIUS	Session 1 -Genesis-	A	11
1064	7th style	Spica	A	11
1065	EPOLIS	squall	A	11
1066	DJ TROOPERS	STEEL NEEDLE	A	11
1067	DJ TROOPERS	switch	A	11
1068	Resort Anthem	THE BLACK KNIGHT	A	11
1069	DistorteD	The Dirty of Loudness	A	11
1070	SIRIUS	THE LAST STRIKER	A	11
1071	DistorteD	tripping contact(teranoid&MC Natsack Remix)	A	11
1072	SPADA	Unicorn tail	A	11
1073	DistorteD	waxing and wanding	A	11
1074	Rootage	Yum Yum Jelly	A	11
1075	tricoro	ZED	A	11
1076	HAPPY SKY	100％ minimoo-G	A	11
1077	Lincle	24th Century BOY	A	11
1078	Rootage	50th Memorial Songs -The BEMANI History-	A	11
1079	CastHour	青の洞窟	A	11
1080	copula	朝焼けから始まるボクらの小さな旅	A	11
1081	CANNON BALLERS	命の標本	A	11
1082	CastHour	オールトの雲	A	11
1083	Lincle	蛇神	A	11
1084	HAPPY SKY	合体せよ！ストロングイェーガー！！ (Ryu☆ remix)	A	11
1085	copula	セロトニン	A	11
1086	Rootage	泰東ノ翠霞	A	11
1087	Resort Anthem	旅人リラン	A	11
1088	Pinky Crush	断罪の一花	A	11
1089	PENDUAL	超青少年ノ為ノ超多幸ナ超古典的超舞曲	A	11
1090	SPADA	牧神笛吹きて	A	11
1091	7th style	A	A	12
1092	SIRIUS	AIR RAID FROM THA UNDAGROUND	L	12
1093	CANNON BALLERS	ANCHOR	A	12
1094	CANNON BALLERS	Arca	A	12
1095	RESIDENT	Bad Encryption	A	12
1096	SIRIUS	Bad Maniacs	A	12
1097	CastHour	Binary Black Hole	A	12
1098	DJ TROOPERS	Blue Rain	L	12
1099	copula	Blue Spring Express	A	12
1100	Resort Anthem	Broken	A	12
1101	RESIDENT	Chaotoxin	A	12
1102	PENDUAL	cinder	A	12
1103	EMPRESS	Colorful Cookie	A	12
1104	6th style	Colors (radio edit)	A	12
1105	tricoro	Confiserie	A	12
1106	DistorteD	CONTRACT	L	12
1107	EPOLIS	Dahlia	A	12
1108	Resort Anthem	Dances with Snow Fairies	A	12
1109	copula	Devil's Gear	A	12
1110	tricoro	Devilz Staircase	A	12
1111	DJ TROOPERS	Do it!! Do it!!	L	12
1112	SIRIUS	DOMINION	A	12
1113	SINOBUZ	DORNWALD ～Junge～	A	12
1114	Pinky Crush	Drop Syndicate	A	12
1115	DistorteD	DUE TOMORROW	A	12
1116	IIDX RED	FAKE TIME	A	12
1117	GOLD	FIRE FIRE	A	12
1118	EPOLIS	Ghost Pulse	A	12
1119	IIDX RED	gigadelic	A	12
1120	CastHour	GiGaGaHell	A	12
1121	SINOBUZ	HADES	A	12
1122	Lincle	HAERETICUS	A	12
1123	PENDUAL	IMPLANTATION	A	12
1124	HEROIC VERSE	Inferno of Fomalhaut	A	12
1125	10th style	Innocent Walls	A	12
1126	Rootage	L.F.O	A	12
1127	SPADA	Last Dance	A	12
1128	CANNON BALLERS	Life Is A Game ft.DD"ナカタ"Metal	A	12
1129	Rootage	Mächö Mönky	A	12
1130	7th style	MAX 300	A	12
1131	RESIDENT	MAX 360	A	12
1132	BISTROVER	MEGAERA	A	12
1133	HEROIC VERSE	Megalara Garuda	A	12
1134	RESIDENT	Meissa	A	12
1135	DJ TROOPERS	MENDES	A	12
1136	9th style	moon_child	A	12
1137	tricoro	neu	A	12
1138	DJ TROOPERS	NEW GENERATION -もう、お前しか見えない-	L	12
1139	copula	Nightmare before oversleep	A	12
1140	RESIDENT	ONE AND ONLY	A	12
1141	10th style	One More Lovely	A	12
1142	9th style	one or eight	A	12
1143	DJ TROOPERS	oratio	A	12
1144	BISTROVER	Pārvatī	A	12
1145	8th style	PLEASE DON'T GO	A	12
1146	tricoro	Proof of the existence	A	12
1147	SINOBUZ	Quakes	A	12
