TITLE	NOTE(SP)					NOTE(DP)				TIME	MOVIE	LAYER
	B	N	H	A	L	N	H	A	L			
beatmania IIDX ▼ △												
ZETA～素数の世界と超越者～	167	307	1097	1583	-	557	1307	1847	-	2:14	専用:VJ GYO+ミスレイヤー	MAYA
おおきなこえで	-	230	502	754	1095	235	459	611	1067	2:04	6th HOUSE汎用+レイヤー	MAYA
かげぬい ～ Ver.BENIBOTAN ～	266	450	718	980	-	458	729	1076	-	2:02	10th AMBIENT汎用+ミスレイヤー	GOLI
黒髪乱れし修羅となりて	-	410	1077	1745	-	557	1234	1750	-	2:05	GOLD TRANCE汎用	
灼熱Beach Side Bunny	296	564	1025	1719	-	542	933	1692	-	2:02	専用:Minako Endo	
旅人リラン	-	579	998	1345	-	617	1054	1475	-	2:03	GOLD TECHNO汎用	
中華急行	-	164	770	1167	-	433	811	1233	-	1:42	7th DANCE汎用	
夕焼け ～Fading Day～	-	504	1067	1420	-	488	983	1314	-	1:57	9th TECHNO汎用	
beatmania IIDX 19 Lincle ▲ ▼ △												
A MINSTREL ～ ver. short-scape ～	-	341	732	1187	1954	346	771	1231	1965	2:04	10th AMBIENT汎用	
Almace	-	432	660	1012	-	431	746	1153	-	1:46	専用:tef*tef	
ANAGRAMS I to Y	-	456	849	1245	-	437	863	1233	-	2:13	Lincle POPS汎用+ミスレイヤー	HES
BLACK.by X-Cross Fade	-	518	1111	1738	-	547	1201	1761	-	1:58	専用:yama_ko	
CALL	-	185	441	735	1371	271	721	864	1426	1:59	"専用:せきやすこ&野口路加&DJ Codomo
(onnacodomo)"	
Castle on the Moon	121	328	837	1231	-	329	818	1305	-	1:38	8th POPS汎用	
Change the World	-	412	714	931	-	549	913	1271	-	2:00	Lincle POPS汎用	
DIAVOLO	-	657	974	1745	-	657	1209	1832	-	1:58	Lincle POPS汎用+レイヤー	チャーム･シスターズ
Drive Me Crazy	-	361	704	1157	-	360	687	1254	-	1:58	Lincle POPS汎用+レイヤー	かーる
Express Emotion	-	385	521	1271	-	395	654	1248	-	2:02	Lincle POPS汎用+ミスレイヤー	GOLI
F	-	532	1099	1813	-	532	1258	1760	-	1:55	専用:Minako Endo	
Far east nightbird	180	264	682	1025	-	373	738	1126	-	1:58	Lincle CYBER汎用	
ƒƒƒƒƒ	-	431	1109	1624	-	611	1297	1703	-	1:42	GOLD HOUSE汎用	
Flip Flap	140	294	706	1137	-	293	662	1004	-	1:54	Lincle POPS汎用	
Follow Tomorrow	-	457	754	1142	-	490	819	1193	-	1:53	専用:bobnob	
GIGANT	-	297	601	890	1484	316	678	1068	1481	1:44	Taiyo Yamamoto	
HAERETICUS	-	440	1000	1589	-	458	1004	1535	-	1:48	Lincle CYBER汎用	
I'm so Happy	159	211	709	1187	-	381	768	1205	-	1:40	Lincle POPS汎用	
In the Blackest Den	-	449	831	1372	-	452	873	1457	-	1:57	Lincle Kingdom Phase 1汎用+戦闘レイヤー	かーる
Infinite cave	-	529	786	1044	-	724	1137	1525	-	2:00	専用:kototoi	
KYAMISAMA ONEGAI!	-	344	580	1076	1583	394	628	1098	1845	1:58	Lincle POPS汎用	
LAX5 feat.Ryota Yoshinari	-	540	1082	1427	-	612	1181	1544	-	2:00	Lincle CYBER汎用	MatsuTK
LETHEBOLG ～双神威に斬り咲けり～	-	518	826	1111	-	512	866	1115	-	2:07	専用:GOLI	
Liquid Crystal Girl feat. echo	-	209	562	1014	-	229	617	1202	-	2:05	Lincle POPS汎用	
LOVE B.B.B	-	394	772	1019	-	438	816	1181	-	1:57	Lincle POPS汎用	Stain
Lucky Days	-	333	777	1111	-	333	777	1111	-	2:02	専用:MatsuTK	
Mermaid girl-秋葉工房 MIX-	-	415	678	1030	-	427	704	1029	-	2:11	Lincle POPS汎用	
Miami Sunset Drive	-	324	548	842	-	331	669	995	-	2:08	Lincle POPS汎用	
NNRT	-	632	1290	1780	-	654	1389	1957	-	2:13	Lincle Kingdom Phase 2汎用+戦闘レイヤー	HES
Phoenix	-	454	617	1258	2027	527	793	1329	2010	1:55	専用:MatsuTK	
prompt	-	482	802	1420	-	530	1024	1502	-	2:06	Lincle POPS汎用	
QUANTUM TELEPORTATION	-	729	1216	1490	1845	729	1216	1999	1825	2:10	専用:Naoya Miyadai (D.B.D)	
quaver♪	145	357	1075	1745	-	340	1021	1874	-	1:49	7th DANCE汎用	
Quick Silver	-	404	941	1353	-	447	878	1438	-	1:54	専用:yama_ko	
Release The Music	-	430	740	1081	-	420	771	1035	-	2:03	Lincle POPS汎用	
RESISTANCE	-	320	679	1198	-	353	707	1345	-	1:59	GOLD TECHNO汎用	
Round and Round	-	403	622	1088	-	435	700	1230	-	2:00	Lincle POPS汎用+ミスレイヤー	GOLI
SA.YO.NA.RA. SUPER STAR	-	248	656	868	-	402	754	1192	-	1:55	専用:なかのりょうすけ	
Scharfrichter	-	449	822	1472	-	522	974	1552	-	2:05	Lincle Kingdom Phase 1汎用+戦闘レイヤー	VJ GYO
Several Words	-	321	729	1098	-	336	724	1108	-	1:52	SIRIUS CYBER汎用+ミスレイヤー	square_head
SHADE	-	551	1048	1464	-	609	1100	1372	-	※	Lincle CYBER汎用+ミスレイヤー	square_head
Snake Stick	-	535	1067	1447	-	560	1108	1418	-	1:56	専用:Steins	
Snow Goose	151	188	691	1238	-	239	1017	1394	-	1:41	Lincle POPS汎用	
Star Trail	-	325	612	942	1325	376	726	1177	1291	2:00	専用:alo	
The Limbo	-	603	1042	1701	2190	626	1192	1618	2146	2:04	Lincle Kingdom Phase 2汎用+戦闘レイヤー	GOLI
The Sampling Paradise	-	438	940	1545	-	451	1191	1646	-	1:58	Lincle Kingdom Phase 1汎用+戦闘レイヤー	Fukutomi WAVE
Thunderbolt	-	527	975	1911	-	534	1034	1677	-	2:05	Lincle CYBER汎用+ミスレイヤー	GOLI
TITANS RETURN	164	318	802	1275	1377	319	798	1265	1384	1:47	Lincle CYBER汎用	
Todestrieb	-	565	979	1733	-	541	1079	1960	-	2:09	Lincle Kingdom Phase 2汎用+戦闘レイヤー	NAGI
Voxane	-	312	628	881	-	315	642	1013	-	1:53	Lincle POPS汎用	
WONDER WALKER	-	496	990	1921	-	498	1020	1916	-	2:07	Lincle POPS汎用	
YAKSHA	-	634	1215	2000	-	647	1391	2033	-	2:13	Lincle Kingdom Phase 2汎用+戦闘レイヤー	GOLI
yellow head joe	-	401	778	1152	1596	424	893	1438	-	1:37	Lincle POPS汎用	
Yellow Sunrise	-	383	726	1145	-	437	878	1493	-	1:57	専用:Minako Endo	
24th Century BOY	-	430	996	1456	-	507	1049	1398	-	2:01	専用:pam & Ta-k & Haruki Kato	
532nm	-	288	640	1349	-	352	686	1310	-	1:39	Lincle POPS汎用	
蛇神	212	368	773	1438	1904	419	922	1473	1838	2:05	専用:MAYA	
陽炎	-	317	606	1010	-	315	602	1079	-	1:45	Lincle POPS汎用+ミスレイヤー	square_head
君のハートにロックオン	-	359	904	1363	1828	367	902	1837	-	2:04	専用:Ohashi Takashi	
恋する☆宇宙戦争っ！！	257	455	883	1835	2355	455	840	1858	2276	2:08	Lincle POPS汎用+ミスレイヤー	GOLI
子供の落書き帳	-	471	1018	1395	-	561	941	1254	-	1:36	専用:亥	
衰色小町メランコリア	-	401	711	1192	-	395	744	1163	-	1:55	GOLD TECHNO汎用+レイヤー	VJ GYO
聖人の塔	-	489	1076	1567	2290	530	1139	1997	2267	2:01	Lincle Kingdom Phase 1汎用+戦闘レイヤー	HES
天空の夜明け	-	686	1125	2072	-	703	1444	2261	-	2:12	Lincle Kingdom Cuvelia汎用+戦闘レイヤー	GOLI
突撃!ガラスのニーソ姫!	-	329	592	1066	-	363	696	1144	-	1:53	Lincle POPS汎用+レイヤー	GOLI
ビューティフルレシート	171	259	621	978	-	311	814	1151	-	1:48	Lincle POPS汎用	
ユミル	-	333	691	1434	-	505	854	1404	-	2:04	7th TRANCE汎用	
beatmania IIDX 20 tricoro ▲ ▼ △												
Ascalon	-	569	913	1171	-	649	1031	1448	-	1:57	Lincle POPS汎用+ミスレイヤー	tef*tef
Beastie Starter	-	272	661	1121	-	272	667	1100	-	1:53	7th TECHNO汎用	
BLUE STRAGGLER	-	440	761	1328	-	442	843	1311	-	1:51	専用:Fukutomi WAVE+ミスレイヤー	Fukutomi WAVE
BRAVE GLOW	-	419	875	1261	-	392	772	1188	-	1:59	Lincle CYBER汎用+レイヤー	VJ GYO
CONCEPTUAL	-	417	689	1391	-	437	708	1412	-	1:55	LEGEND CROSS汎用+戦闘レイヤー	AUK-YAM
Confiserie	-	484	1097	1833	-	509	1097	1938	-	1:46	Lincle POPS汎用	
connective	-	203	564	805	-	206	569	787	-	1:57	4th HOUSE汎用	
Cookie Bouquets	-	446	1076	1714	-	655	1119	1814	-	2:09	"専用:Vincent Bui & Naoya Miyadai
& Ryousuke Takeuchi(D.B.D)"	
DAY DREAM	-	295	685	1075	-	318	644	1018	-	1:30	専用:K-GO	
Devilz Staircase	-	332	1134	1685	-	361	1017	1614	-	1:51	専用:GOLI+ミスレイヤー	GOLI
Elemental Creation	133	767	1248	2130	-	828	1268	2222	-	2:06	GOLD TRANCE汎用	
examination leave	-	585	972	1712	-	704	1148	1613	-	1:51	tricoro CYBER汎用	
FLOWER	182	575	915	1460	-	605	977	1493	-	2:05	専用:Motion Combat	
Fly you to the star	-	393	818	1144	-	410	744	1161	-	1:55	専用:Motion Combat	
GAIA	-	527	1149	1676	-	610	1074	1854	-	2:02	Lincle CYBER汎用	
GRADIUS 2012	-	465	869	1380	-	532	817	1459	-	2:03	専用:HES	
Hollywood Galaxy	-	567	1039	1392	-	579	1022	1378	-	1:54	GOLD TRANCE汎用	
Howling	-	280	695	1066	1350	321	710	1060	1427	1:50	SIRIUS HOUSE汎用+レイヤー	VJ GYO
I know You know	-	304	602	950	-	345	628	976	-	1:59	専用:bobnob	
ILIAS	-	406	669	1105	-	412	846	1286	-	1:50	Lincle POPS汎用	
Illegal Function Call	-	511	942	1398	2023	533	1173	1602	2076	2:01	専用:Ta-k & pam(drawiz.Inc)	
In Heaven	-	386	745	1072	-	495	754	1107	-	1:58	専用:alo	
JOMANDA	134	595	1300	1918	-	598	1317	1810	-	2:10	専用:T田	
Liberation	-	760	1203	1905	-	738	1290	1744	-	1:59	専用:alo	
Light and Cyber･･･	-	532	1039	1579	-	565	1073	1502	-	2:04	専用:Koji Aramaki	
Little Star	-	495	896	1635	-	498	954	1676	-	1:56	tricoro CYBER汎用+レイヤー	GOLI
LUV CAN SAVE U	-	295	720	1069	1409	300	699	1416	1644	2:01	Resort Anthem DANCE汎用+ミスレイヤー	NAGI
mnemoniq	-	269	488	658	-	396	635	799	-	1:44	2nd HOUSE汎用	
Neonlights	-	333	815	1127	-	346	967	1121	-	1:53	専用:MiRA	
neu	99	504	1099	1999	-	521	999	1999	-	※	tricoro TECHNO汎用	
New Decade IIDX Edition	136	503	1001	1539	-	533	948	1461	-	1:56	専用:もとこ*3	
New Lights	-	531	929	1250	-	686	945	1306	-	2:06	Lincle POPS汎用+レイヤー	HES
Plan 8	-	600	1147	1690	-	627	1077	1577	-	2:04	LEGEND CROSS UNKNOWN汎用+戦闘レイヤー	GOLI
planarian	-	360	854	1279	-	398	862	1439	-	1:50	tricoro CYBER汎用+レイヤー	Fukutomi Wave
POINT ZERO	-	370	663	1068	-	352	722	1014	-	1:51	5th DISCO汎用	
Präludium	-	355	732	1164	-	381	758	1216	-	2:00	専用:Taiyo Yamamoto	
Proof of the existence	-	603	1104	1675	-	595	1104	1524	-	2:06	Ω-ATTACK汎用+戦闘レイヤー	GOLI
Rainbow after snow	-	370	744	1090	-	494	794	1208	-	2:04	10th AMBIENT汎用	
Reflection Into the EDEN	-	404	740	1100	-	539	806	1283	-	2:24	専用:kototoi	
Re:GENERATION	122	481	810	1145	-	481	949	1410	-	1:57	7th TRANCE汎用+ミスレイヤー	Nakamura Yuji
rumrum triplets	-	491	1029	1541	-	484	1256	1613	-	2:07	LEGEND CROSS汎用+戦闘レイヤー	NAGI
S!ck	-	463	808	1373	-	465	961	1416	-	2:02	LEGEND CROSS汎用+戦闘レイヤー	XTC
Saturn	-	693	1040	1332	1783	711	1091	1470	1814	1:55	7th TRANCE汎用	
Shining World	-	632	811	976	-	568	726	1296	-	1:58	4th HOUSE汎用+レイヤー	VJ GYO
SHION	-	338	656	1359	-	393	810	1482	-	2:04	7th TRANCE汎用	
Sol Cosine Job 2	-	542	904	1625	-	550	1294	1596	-	2:00	SIRIUS CYBER汎用+ミスレイヤー	XTC
STULTI	-	415	867	1416	-	494	936	1496	-	1:50	8th CYBER汎用	
SYNC-ANTHEM	-	481	1279	1865	-	563	1254	1732	-	2:07	LEGEND CROSS汎用+戦闘レイヤー	7
Synergy For Angels	-	466	860	1400	-	469	850	1496	-	1:56	Lincle CYBER汎用	
Take My Life	-	490	817	1487	-	522	910	1491	-	1:58	6th EURO汎用	
Thor's Hammer	-	491	945	1641	-	516	1015	1670	-	1:46	LEGEND CROSS UNKNOWN汎用+戦闘レイヤー	チャーム・あねじゃ
Time to Empress	-	467	983	1324	1600	726	1138	1497	1644	2:01	6th RAVE汎用	
Timepiece phase II	-	546	1161	1665	-	522	1180	1571	-	1:47	専用:770	
Timepiece phase II (CN Ver.)	-	501	1008	1546	-	502	970	1325	-	1:47		
True Blue	-	551	1291	1898	-	579	1244	1775	-	2:08	tricoro CYBER汎用	
Valanga	-	674	1126	1647	-	644	1142	1807	-	1:42	GOLD TECHNO汎用	
VALLIS-NERIA	136	623	1076	1507	-	667	1169	1619	-	2:13	専用:T田	
VEGA	-	581	1061	1584	-	583	1046	1670	-	1:59	専用:Fukutomi wave	
ZED	-	474	876	1405	-	534	818	1479	-	2:02	専用:ogaooooo	
Zirkfied	-	524	1055	1968	-	518	1044	1897	-	2:05	GOLD TECHNO汎用	
405nm (Ryu☆mix)	-	467	898	1301	-	469	910	1361	-	1:49	7th DANCE汎用+レイヤー	かーる
8bit Princess	-	327	690	1319	-	343	621	1355	-	2:01	10th POPS汎用+レイヤー	かーる
アストライアの双皿	-	345	1110	1632	-	505	1105	1514	-	2:07	7th TRANCE汎用	
梅雪夜	-	445	759	1081	-	425	771	1108	-	1:49	GOLD TECHNO汎用	
ΕΛΠΙΣ	-	584	1075	1600	1852	551	1096	1577	1815	2:04	LEGEND CROSS UNKNOWN汎用+戦闘レイヤー	蒼弐
"お米の美味しい炊き方、
そしてお米を食べることによるその効果。"	-	459	812	1122	1907	517	805	1085	1866	1:58	GOLD TECHNO汎用	
朧	104	395	758	1060	1280	413	759	1082	1257	2:01	専用:ゆうき	
音楽	-	453	1038	1487	-	500	949	1369	-	※	tricoro TECHNO汎用	
下弦の月	-	477	755	1000	-	471	729	984	-	1:58	tricoro TECHNO汎用+ミスレイヤー	VJ GYO
カジノファイヤーことみちゃん	-	331	737	1271	1777	343	701	1477	-	1:53	Resort Anthem DANCE汎用+レイヤー	GOLI
仮想空間の旅人たち	-	587	1121	1450	1943	570	1032	1549	1817	※	tricoro CYBER汎用+レイヤー	VJ GYO
キャトられ♥恋はモ～モク	-	751	1359	1988	-	795	1388	2120	-	2:12	専用+戦闘レイヤー	GOLI
狂イ咲ケ焔ノ華	-	621	1269	1860	-	656	1316	1894	-	2:10	専用:堕天王の眷属G+レイヤー	堕天王の眷属G
シュレーディンガーの猫	-	580	1231	1717	-	614	1198	1685	-	1:53	10th TECHNO汎用	
創世ノート	-	430	988	1512	-	464	952	1265	-	2:01	7th TRANCE汎用	
即席！脳直★ミュージックシステム	-	529	1032	1838	-	543	1056	1735	-	2:02	Lincle POPS汎用+レイヤー	VJ GYO
たまゆら	-	600	960	1407	-	602	1159	1441	-	1:49	専用:K-GO	
トリカゴノ鳳凰	-	586	1057	1932	-	579	1138	1709	-	2:11	Ω-ATTACK汎用+戦闘レイヤー	GOLI
†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT)	123	279	858	1835	-	278	973	2084	-	1:50	専用:NATSU & たかたん	
メイメツ、フラグメンツ	-	329	661	984	-	357	588	1059	-	1:40	専用:VJ GYO+ミスレイヤー	GOLI
ラキラキ	-	332	749	1001	-	343	758	1016	-	1:43	Lincle POPS汎用	
龍と少女とデコヒーレンス	-	427	863	1515	1713	440	893	1387	1722	2:06	専用:いそにん	
beatmania IIDX 21 SPADA ▲ ▼ △												
Adularia	100	540	972	1449	-	524	946	1382	-	1:57	専用:alo	
ALBA -黎明-	-	330	787	1631	1990	398	820	1600	1996	1:55	専用:GOLI	
Ancient Scapes	-	602	1073	1780	2198	637	1254	1931	2285	2:07	tricoro CYBER汎用	
BLUE DRAGON(雷龍RemixIIDX)	-	769	1159	1727	-	675	1033	1373	1774	1:59	Lincle POPS汎用	
BRAINSTORM	-	386	1032	1449	-	633	1204	1495	-	2:07	専用:OTAS	
BRAVE OUT	-	528	773	1091	1413	520	912	1264	1809	2:00	Lincle POPS汎用	
Claiomh Solais	-	173	723	1052	-	265	843	1175	-	1:59	専用:TSUMURING	
Cleopatrysm	-	416	753	1326	-	381	732	1199	-	1:55	GOLD TRANCE汎用	
Close the World feat.a☆ru	-	578	1075	1739	1983	433	912	1610	1851	1:59	SPADA HARDCORE汎用	
Critical Crystal	112	565	946	1495	-	574	975	1429	-	1:54	専用:Taiyo Yamamoto	
DARK LEGACY	-	675	1077	1828	-	894	1127	1853	-	2:03	専用:GOLI	
Devilz Sacrifice -贖罪の羊-	-	489	927	1265	-	497	922	1224	-	1:48	7th TRANCE汎用	
diagram	-	318	660	1461	-	400	636	1419	-	2:07	Resort Anthem DANCE汎用	
Elektrick U-Phoria	-	593	1004	1566	2050	654	1048	1763	2164	2:02	専用:板垣 聖一	
Element of SPADA	-	355	686	1047	1560	355	686	1217	1571	2:10	SPADA HARDCORE汎用	
Engraved Mark	-	413	700	1222	-	430	713	1209	-	1:52	tricoro CYBER汎用	
EXTREME MACH COLLIDER	-	527	763	1305	-	485	852	1007	-	2:02	専用:alo	
Feel The Beat	-	689	1129	1830	2225	578	1049	1628	1879	2:04	tricoro CYBER汎用	
Funny shuffle	-	309	590	1199	-	308	639	1312	-	1:46	GOLD HOUSE汎用	
HYENA	-	608	1026	1434	1894	531	943	1433	1934	2:00	8th CYBER汎用	
Hypersonik	-	521	878	1272	-	544	897	1252	-	2:06	Lincle CYBER汎用+レイヤー	VJ GYO
I will be back -オレは帰ってきた-	-	516	1012	1492	-	544	1086	1512	-	1:50	専用:HES	
Idola	-	621	1181	1826	-	655	1237	1873	-	2:10	専用:yunve	
Insane Techniques	-	378	672	1263	-	385	812	1251	-	2:09	専用:murAta Yuzi	
INSOMNIA	-	407	938	1661	-	443	991	1722	-	2:01	専用:小美野昌史	
into the battlefield	-	374	734	1193	-	420	760	1184	-	1:56	専用	
invoker	-	569	1009	1624	1851	579	1242	1659	1773	2:07	Lincle CYBER汎用	
KAISER PHOENIX	-	679	1194	1693	2026	687	1224	1473	2058	1:46	専用	
KHAMEN BREAK	-	298	723	1281	-	304	692	1154	-	2:12	tricoro TECHNO汎用	
Last Dance	-	616	1040	1650	-	614	1137	1678	-	1:58	Lincle Kingdom Cuvelia汎用+戦闘レイヤー	GOLI
Lighting Shower	-	418	694	1220	-	383	686	1288	-	1:39	専用:Koji Aramaki	
M.D.Injection	-	301	626	1231	-	412	691	1259	-	1:57	tricoro TECHNO汎用+レイヤー	
m1dy Deluxe	-	598	951	1342	-	627	931	1332	-	1:59	専用:Ta-k, pam (drawiz.Inc)	
MAD ATTACK	-	348	683	991	1396	383	719	1136	1193	1:47	専用:Minako Endo	
MAGIC & LOVE	-	517	942	1481	-	470	765	1628	-	1:54	8th POPS汎用+ミスレイヤー	VJ GYO
Miracle 5ympho X	-	390	674	1325	1551	446	978	1489	1526	2:02	8th TECHNO汎用+レイヤー	VJ GYO
NPC World	-	522	826	1155	-	496	970	1174	-	1:55	Lincle POPS汎用	
Odin	-	408	721	1039	-	438	709	1140	-	2:10	SPADA HARDCORE汎用	
Overload Frontier	-	404	954	1336	-	522	1006	1249	-	2:01	専用:yama_ko	
Pharaoh	-	331	727	1242	-	338	634	794	-	1:47	GOLD TRANCE汎用+ミスレイヤー	Fukutomi WAVE
PUNISHER	-	583	1081	1812	-	594	1107	1830	-	1:59	10th TRANCE汎用	
ra'am	-	653	1003	1461	-	722	1067	1500	-	1:46	SPADA HARDCORE汎用+戦闘レイヤー	Fukutomi WAVE
rainbow guitar weeps	-	492	951	1406	-	610	998	1683	-	2:03	専用:Minako Endo	
Recollection	-	597	883	1118	-	598	880	1104	-	2:12	専用:Jimpei Okatome	
refractive index	-	374	731	1360	-	405	761	1415	-	1:56	6th CYBER汎用+レイヤー	square_head
RISE	-	480	701	951	-	496	732	1038	-	2:01	専用:Seventhgraphics	
RIZING YOU UP	-	537	1080	1295	-	780	1313	1680	-	1:59	9th TECHNO汎用	
SCHWARZSCHILD FIELD	-	472	840	1232	-	653	806	1143	-	1:48	6th RAVE汎用	
Sigmund	-	806	1228	2029	2267	778	1341	2073	2255	2:03	7th TRANCE汎用	
Squeeze	-	432	745	1257	-	478	864	1250	-	1:45	tricoro CYBER汎用	
THE DETONATOR	-	836	1284	1636	-	985	1156	1570	-	2:22	専用:alo	
Unicorn tail	-	438	1046	1605	-	438	1050	1833	-	2:21	7th TRANCE汎用	
Valgus	-	330	685	1206	-	348	734	1212	-	2:03	10th TRANCE汎用	
Verflucht	-	647	1081	1805	2401	643	1094	1949	2093	1:50	10th TRANCE汎用	
VOX UP	-	754	1473	1870	-	726	1437	1855	-	2:02	専用:OTAS	
Wonder Girl feat. Kanae Asaba	-	365	647	1414	-	432	673	1457	-	1:59	tricoro CYBER汎用	
アルストロメリア	109	495	804	1254	-	482	852	1296	-	2:05	Lincle POPS汎用	
ÆTHER	-	514	833	1440	1640	542	839	1385	1621	2:01	tricoro CYBER汎用	
お願いアインシュタイン	-	457	753	1066	-	437	736	1041	-	1:42	Lincle POPS汎用+レイヤー	VJ GYO
疾風迅雷	-	592	1078	1493	1824	556	1154	1670	1764	1:54	GOLD TECHNO汎用	
旋律のドグマ～Misérables～	-	629	1271	2002	-	691	1362	1974	-	2:17	専用:いそにん	
超!!遠距離らぶ♡メ～ル	-	292	790	1352	-	363	879	1450	-	2:07	Lincle POPS汎用	
罪と罰	-	555	711	1096	-	672	896	1216	-	2:02	専用:Kiyoshi Tanada(Motion Combat)	
デッドボヲルdeホームラン	-	318	846	1417	-	388	989	1447	-	1:51	GOLD HOUSE汎用	
轟け！恋のビーンボール！！	-	541	1012	1834	-	596	1116	1774	-	1:51	8th CYBER汎用	
IX	-	658	1247	2007	-	694	1382	2097	-	2:00	SPADA HARDCORE汎用	
廿	-	485	890	1215	1731	485	938	1190	1782	2:03	SIRIUS CYBER汎用	
バンブーソード・ガール	135	512	960	1261	-	502	994	1662	-	1:53	専用:cosMo	
牧神笛吹きて	-	377	721	1044	-	379	748	1026	-	2:00	10th TECHNO汎用	
煉獄のエルフェリア	-	698	1222	2000	-	725	1265	1945	-	2:05	Qprogue DX汎用+戦闘レイヤー	GOLI
海神	-	585	1084	1629	1830	607	1145	1557	1860	2:09	7th TRANCE汎用	
beatmania IIDX 22 PENDUAL ▲ ▼ △												
AFRO KNUCKLE	-	496	917	1226	-	446	920	1320	-	2:03	専用:Koji Aramaki	
Beat Radiance	-	505	826	1335	1809	420	716	1354	1887	1:49	tricoro TECHNO汎用+ミスレイヤー	GOLI
Beyond The Earth	-	668	1102	1646	-	748	1214	1494	-	2:13	専用:SYO-jy	
Blaze it UP!	-	493	964	1501	-	564	1069	1613	-	2:06	専用:connectrick	
BLUE MIRAGE	-	596	1091	1606	-	596	1092	1509	-	1:58	専用:ackermann a.k.a. akaman	
Broken Sword	-	658	1054	1887	-	513	1123	1911	-	2:02	Chrono Seeker BOSS汎用+戦闘レイヤー	NAGI
Chain of pain	-	396	789	1130	-	610	939	1301	-	2:03	専用:kototoi	
chrono diver -fragment-	-	347	590	900	1134	322	633	896	1114	2:04	PENDUAL MUSIC SELECT汎用(PRESENT)+ミスレイヤー	GOLI
CHRONO DIVER -NORNIR-	-	592	1124	1568	2233	625	1128	1582	2477	2:06	PENDUAL MUSIC SELECT汎用(FUTURE)+ミスレイヤー	GOLI
Chrono Diver -PENDULUMs-	281	722	1422	2222	-	722	1422	2222	-	2:02	PENDUAL PRESENT汎用+ミスレイヤー	NAGI
Chronos	-	443	717	1205	1538	462	914	1356	1453	1:53	専用:alo	
cinder	-	432	1037	1601	-	573	1139	1764	-	2:01	PENDUAL PRESENT汎用+ミスレイヤー	square_head
COLOSSEUM	-	295	627	1159	-	353	684	1184	-	1:42	Chrono Seeker汎用+レイヤー	Fukutomi WAVE
Cosmic Cat	-	476	892	1166	1651	544	815	1147	1747	2:06	Ω-ATTACK汎用+戦闘レイヤー	かーる
Despair of ELFERIA	-	642	1248	2096	-	723	1328	2155	-	2:07	Qprogue DX汎用+戦闘レイヤー	GOLI
Discloze	-	498	872	1365	-	497	966	1437	-	2:01	Lincle CYBER汎用	
EBONY & IVORY	-	557	890	1520	1887	594	900	1575	1878	1:42	専用:タカハシサンとにゃん	
entelecheia	-	528	1106	1657	-	589	1094	1778	-	1:48	Lincle Kingdom Phase 1汎用+戦闘レイヤー	NAGI
Erosion Mark	-	407	788	1096	-	433	798	1186	-	1:54	PENDUAL FUTURE汎用	
fallen leaves -IIDX edition-	-	603	1085	1745	-	629	967	1832	-	1:52	10th TECHNO汎用	
FANTASTIC THREE	-	698	1166	1649	-	682	1125	1794	-	2:00	専用:小美野昌史	
Flashes	-	489	931	1691	2090	596	1009	2090	1827	1:56	Lincle Kingdom Phase 1汎用+戦闘レイヤー	HES
Gravigazer	-	495	966	1533	-	511	912	1524	-	2:00	PENDUAL FUTURE汎用+レイヤー	HES
GUILTY	-	509	798	966	1525	521	837	1087	1424	1:29	6th CYBER汎用	
HELL SCAPER -Last Escape Remix-	-	494	911	1458	-	741	1177	1459	-	2:26	6th CYBER汎用	
Hello Happiness	-	461	871	1198	-	421	715	1134	-	1:45	10th POPS汎用+レイヤー	ぺぬ
illuminate	-	316	817	1172	-	297	832	1250	-	2:04	専用:Taiyo Yamamoto	
IMPLANTATION	-	335	885	1163	-	502	807	1153	1578	1:33	7th TRANCE汎用	
In The Breeze	-	336	601	896	-	416	630	996	-	1:46	専用:Ray	
Invitation from Mr.C	-	594	810	1405	-	637	833	1399	-	1:50	SIRIUS CYBER汎用	
IXION	-	569	913	1086	-	621	911	1187	-	2:05	専用:Ta-k (synesthesia)	
Line 4 Ruin	-	363	913	1402	-	612	827	1286	-	1:54	専用:alo	
Monopole.	-	403	867	1729	-	433	982	1362	-	1:58	tricoro TECHNO汎用	
NEO GENERATOR SEVEN	-	469	974	1690	-	630	1129	1524	-	2:05	Chrono Seeker BOSS汎用+戦闘レイヤー	HES
Night sky	-	599	972	1491	-	600	968	1672	-	2:03	専用:alo	
No Tears	-	609	1082	1286	-	639	1028	1216	-	2:02	7th TRANCE汎用	
PENDUAL TALISMAN	-	524	820	1314	-	446	992	1340	-	2:03	専用:GOLI	
Rave*it!! Rave*it!!	-	517	863	1656	-	497	824	1433	-	1:51	Qprogue DX汎用+戦闘レイヤー	Fukutomi WAVE
Realize Maze	-	642	1054	1503	-	677	1152	1539	-	2:07	Lincle CYBER汎用	
Reflux	-	402	822	1574	-	467	912	1693	-	1:59	PENDUAL FUTURE汎用+レイヤー	NAGI
Sakura Mirage	-	520	710	1190	-	520	731	1156	-	1:45	GOLD TRANCE汎用	
SAMSARA	-	432	731	1031	-	408	786	1087	-	2:06	tricoro CYBER汎用	
Say YEEEAHH	-	610	952	1677	-	645	1219	1723	-	2:00	PENDUAL PRESENT汎用+レイヤー	NAGI
