TITLE	NOTE(SP)					NOTE(DP)				TIME	MOVIE	LAYER
	B	N	H	A	L	N	H	A	L			
beatmania IIDX ▼ △												
beatmania IIDX 7th style ▲ ▼ △												
A	-	666	1111	1260	-	613	1119	1343	-	2:09	7th TRANCE汎用	
AVE DE RAPINA	-	713	882	934	-	948	1113	-	-	1:59	7th HOUSE汎用	
Bad Routine	-	522	716	964	-	566	716	1042	-	1:57	5th DISCO汎用	
Burning Heat! (Full Option Mix)	-	361	494	755	-	359	496	789	-	1:55	専用:shiro/HES/VJ GYO	
Cheer Train	-	470	623	880	-	468	623	1307	-	1:51	専用:shiro	
D2R	-	494	671	823	-	525	665	-	-	1:36	7th DANCE汎用	
DESTINY	-	546	700	925	-	575	700	-	-	1:42	6th CYBER汎用	
foreplay	-	357	631	684	-	361	630	979	-	1:27	7th HOUSE汎用	
Glorious Days	-	262	411	463	-	395	461	-	-	2:02	専用:shiro	
Happy Wedding	-	620	872	940	-	610	899	1061	-	2:08	6th DANCE汎用	
Last Message	-	513	682	819	-	675	748	1111	-	1:37	専用:good-cool	
Let the Snow Paint Me	-	431	537	624	-	485	559	-	-	2:06	専用:VJ GYO	
Love Me Do	-	571	857	1058	-	577	899	-	-	1:55	7th DANCE汎用+レイヤー	GOLI
MAX 300	-	570	982	1429	-	566	982	1496	-	1:32	7th TECHNO汎用	
Somebody Like You	-	376	606	933	-	375	603	937	-	1:54	5th DISCO汎用	
Spica	-	328	772	1167	-	327	782	1203	-	1:46	6th HOUSE汎用	
stoic	-	874	1250	1302	-	874	1126	1497	-	1:56	専用:VJ GYO	
Tomorrow Perfume	-	685	1000	1085	-	729	1212	1311	-	2:07	専用:VJ GYO	
traces	-	778	982	1083	-	762	901	1071	-	2:13	7th TRANCE汎用	
ZERO-ONE	-	556	874	1132	1448	556	874	1169	1458	1:36	7th TECHNO汎用+レイヤー	GOLI
革命	-	392	1004	1183	-	702	1209	1401	-	1:50	7th TRANCE汎用	
beatmania IIDX 8th style ▲ ▼ △												
abstract	-	659	831	960	-	662	950	-	-	1:47	専用:VJ GYO	
airflow	-	295	402	721	-	293	402	721	-	1:55	専用:VJ GYO	
ALL RIGHT	-	446	658	815	-	501	720	860	-	2:01	8th TECHNO汎用	
Attitude	-	527	721	881	-	578	707	881	-	2:06	専用:ミコシバ	
bit mania	-	458	643	934	-	536	643	-	-	1:50	8th CYBER汎用	
Blame	-	611	796	980	-	614	745	1105	-	1:46	専用:VJ GYO	
CELEBRATE NITE	-	471	591	714	-	471	632	731	-	1:23	専用:HES	
Colors -Y&Co. Eurobeat Remix-	-	585	1029	1100	-	663	1068	1100	-	2:08	8th POPS汎用	
dual control	-	403	763	961	-	403	756	854	-	1:44	8th HOUSE汎用	
Giudecca	-	470	1016	1381	-	600	1129	1392	-	1:55	専用:VJ YUZ	
Halfway of promise	-	481	781	940	-	638	779	1157	-	1:58	8th POPS汎用	
HYPER BOUNDARY GATE	-	646	976	1115	-	636	955	1115	-	2:02	専用:Yasi	
LAB	-	534	1029	1075	1380	547	1014	1255	1594	1:52	専用:Yasi	
LOVE IS ORANGE	-	399	519	903	1059	456	570	1034	1243	1:44	専用:HES	
Luv 2 Feel Your Body	-	437	542	839	-	552	703	945	-	1:47	専用:KAKKI	
memories	-	578	1056	1157	-	578	1122	1274	-	2:00	専用:VJ GYO	
Monkey Dance	-	413	690	997	-	554	689	955	-	1:53	8th POPS汎用	
murmur twins	-	567	854	1207	-	589	924	1188	-	2:03	専用:kaeru	
MUSIC TO YOUR HEAD	-	415	743	849	-	628	769	849	-	2:01	専用:HES	
PLEASE DON'T GO	-	505	715	1251	-	527	798	1188	-	2:02	専用:HES	
rainbow flyer	-	422	859	1081	-	424	931	1167	-	2:04	専用:KAKKI	
symbolic	-	734	952	1138	-	936	1152	-	-	1:59	8th TECHNO汎用	
thunder	-	609	817	959	-	608	944	1126	-	2:10	8th HOUSE汎用	
WAR GAME	-	488	789	1077	-	496	820	1044	-	2:04	8th TECHNO汎用	
World Wide Love	-	353	526	559	-	454	560	-	-	1:53	8th HOUSE汎用	
xenon	-	570	867	1379	-	563	865	1379	-	1:47	8th CYBER汎用	
蒼い衝動	-	468	694	803	-	524	685	795	-	1:50	8th POPS汎用	
桜	-	541	819	1123	-	605	819	1047	-	1:40	専用:DDR EXTREME2	
beatmania IIDX 9th style ▲ ▼ △												
Abyss -The Heavens Remix-	288	766	938	1188	-	803	1036	1102	-	1:42	専用:VJ YUZ	
ACT	-	532	864	935	-	637	890	1005	-	2:00	専用:VJ GYO	
ADVANCE	-	240	429	818	-	240	453	800	-	1:52	8th CYBER汎用	
ATOMIC AGE	-	184	341	679	-	184	346	681	-	1:42	8th HOUSE汎用	
BAD BOY BASS!! (dj Remo-con MIX)	-	468	714	908	-	468	708	-	-	1:58	専用:F-FLY	
bag	-	468	621	963	-	636	912	1023	-	1:34	7th HOUSE汎用	
BRIGHTNESS DARKNESS	-	363	750	889	-	381	825	984	-	1:54	専用:F-FLY	
Cradle	-	466	751	803	-	617	784	-	-	1:51	6th HOUSE汎用+レイヤー	F-FLY
Distress	-	691	937	-	-	993	1254	-	-	2:02	8th TECHNO汎用+レイヤー	F-FLY
e-motion 2003 -romantic extra-	-	671	824	1001	-	715	978	-	-	2:14	専用:VJ GYO	
fun	-	311	586	950	-	295	574	950	-	1:41	5th DISCO汎用	
Golden Horn	-	359	646	763	-	359	646	853	-	1:54	専用:VJ YUZ	
HYPER EUROBEAT (2DX style)	-	557	843	990	-	604	832	-	-	1:58	9th HOUSE汎用	
I Was The One (80's EUROBEAT STYLE)	-	397	685	727	-	439	518	725	-	1:43	8th HOUSE汎用	
Karma	-	668	839	925	-	797	1085	1267	-	※	9th TECHNO汎用	
lights	-	357	753	910	-	635	927	995	-	2:14	専用:F-FLY	
Logic Board	-	529	907	1173	-	529	906	1697	-	1:55	8th CYBER汎用	
LOVE♡SHINE	270	433	921	1046	-	427	673	960	-	1:39	専用:GOLI	
lower world	-	706	979	1144	-	705	981	1254	-	2:23	専用:ミコシバ	
Make A Difference	-	445	846	1155	-	441	866	1202	-	1:59	専用:DDR EXTREME2	
MARIA (I believe... )	-	375	804	983	-	375	861	983	-	1:57	9th HOUSE汎用	
moon_child	-	533	1026	1300	-	510	1049	1661	-	2:08	専用:F-FLY/kaeru	
one or eight	-	695	985	1177	-	632	790	1110	1426	1:38	4th TECHNO汎用+ミスレイヤー	GOLI
PARANOIA survivor MAX	-	497	677	1092	-	485	671	1091	-	1:37	専用:RICE.C	
quasar	-	591	901	1161	-	710	1056	1562	-	2:12	専用:F-FLY	
Quickening	-	478	875	1062	-	440	620	1044	-	1:45	専用:VJ YUZ	
Really Love	-	333	506	898	-	333	861	-	-	2:01	5th DISCO汎用	
RISLIM -Remix-	-	405	508	959	-	521	817	1151	-	1:47	4th HOUSE汎用	
rottel-the-Mercury	-	503	963	1137	-	634	924	1132	-	1:51	専用:VJ YUZ	
Silvia Drive	-	429	790	1049	-	687	946	1364	-	1:53	専用:VJ GYO	
SNOW	-	534	704	1038	-	598	762	1037	-	1:47	7th TECHNO汎用	
STAR FIELD	-	351	806	947	-	351	793	-	-	2:00	専用:VJ YUZ	
Sweet Sweet♡Magic	-	509	784	1032	-	519	786	1055	-	1:32	専用:DDR EXTREME2	
SWEETEST SAVAGE	-	335	704	930	-	551	702	965	-	1:50	専用:F-FLY	
真夏の花・真夏の夢	-	420	603	749	-	580	771	961	-	2:08	4th HOUSE汎用	
ライオン好き	-	329	600	755	-	329	614	-	-	1:58	専用:VJ GYO	
beatmania IIDX 10th style ▲ ▼ △												
ALIEN TEMPLE	-	505	839	1021	-	649	954	1084	-	2:06	専用:VJ GYO	
ASTRAL VOYAGE	-	510	727	971	-	523	731	1087	-	2:08	10th POPS汎用	
BABY LOVE	-	598	865	1089	-	596	779	1159	-	2:08	6th DANCE汎用	
Back Into The Light	-	602	835	1086	-	621	828	1160	-	2:19	8th POPS汎用	
Boundary	-	440	930	1031	-	521	967	967	-	1:54	専用:F-FLY	
CARRY ON NIGHT (English version)	-	510	702	1037	-	522	738	1088	-	1:56	6th EURO汎用	
Daisuke	236	613	850	1205	-	660	858	1208	-	2:07	専用:VJ GYO	
Debtty Daddy	-	533	1008	1371	-	533	1008	1607	-	2:15	7th DANCE汎用	
desolation	-	245	331	386	-	245	386	-	-	2:01	4th HOUSE汎用	
DoLL	175	478	626	810	-	478	645	923	-	1:57	専用:GOLI	
EXE	-	448	829	1131	-	450	854	-	-	1:53	10th TECHNO汎用+レイヤー	GOLI
Feedback	-	548	836	1010	-	550	838	984	-	2:00	9th TECHNO汎用	
FEEL IT	-	474	888	1013	-	573	1002	1119	-	1:49	10th TECHNO汎用	
Freezing atmosphere	-	416	585	775	-	418	586	776	-	1:57	専用:F-FLY	
GHOST REVIVAL	-	466	1049	1311	-	466	1049	1409	-	2:05	4th CYBER汎用	
GRADIUS -FULL SPEED-	-	385	643	1074	-	385	643	1074	-	1:58	専用:HES	
HIGH	-	470	975	1088	1443	692	945	1233	1501	1:51	8th HOUSE汎用+レイヤー	VJ GYO
Innocent Walls	-	847	1281	1446	-	855	1140	1553	-	2:01	専用:F-FLY	
Love Is Eternity	-	622	1016	1215	-	604	1038	1417	-	2:11	専用:F-FLY	
Lucy	-	485	903	1167	-	484	908	-	-	2:02	専用:VJ GYO	
Narcissus At Oasis	-	392	807	838	-	384	771	830	-	2:05	専用:ミコシバ	
No.13	-	855	1376	1607	-	778	1185	1639	-	2:01	専用:TOM	
One More Lovely	-	439	832	1452	-	444	862	1557	-	1:55	6th RAVE汎用+レイヤー	GOLI
pandora	-	455	852	931	-	509	805	1040	-	2:09	専用:VJ GYO	
rainbow rainbow	-	799	1156	1377	-	815	1087	1400	-	1:57	8th TECHNO汎用	
Rise'n Beauty	-	652	841	1094	-	683	882	1159	-	2:05	10th TRANCE汎用	
SCORE	-	595	812	1055	-	597	806	1105	-	1:57	8th TECHNO汎用	
SHOOTING STAR	-	651	855	1146	-	624	858	1178	-	2:01	10th POPS汎用	
SPACE FIGHT	-	328	768	1134	-	519	765	1190	-	1:48	専用:F-FLY	
1st Samurai	-	546	1016	1383	-	729	1016	1455	-	1:55	8th TECHNO汎用	
システムロマンス	-	458	901	1023	-	457	886	-	-	2:12	8th POPS汎用+ミスレイヤー	GOLI
雪月花	-	636	979	1287	-	867	1153	1411	-	1:55	9th HOUSE汎用+ミスレイヤー	GOLI
beatmania IIDX 11 IIDX RED ▲ ▼ △												
AA	-	642	1386	1834	-	659	997	1739	-	1:58	専用:Ta-k	
AGEHA	305	537	888	948	1232	464	689	903	1460	2:00	専用:MAYA	
ANDROMEDA	-	517	973	1446	-	512	1109	1568	-	2:14	専用:HES	
awakening	-	553	750	866	-	546	746	873	-	2:01	10th AMBIENT汎用	
Be quiet	-	559	894	1114	1463	558	861	1055	1614	1:57	専用:izm＠tksd /東京食堂	
BLOCKS	-	417	675	1000	-	417	746	1001	-	1:39	8th CYBER汎用	
BREATH	-	469	663	875	-	455	700	930	-	1:46	9th TECHNO汎用	
Click Again	-	462	737	1097	-	462	735	1039	-	1:54	専用:F-FLY*1	
Close my Eyes for Me	-	529	755	948	-	521	751	1058	-	2:01	専用:F-FLY	
D.A.N.C.E.!	-	299	431	826	-	298	425	653	-	1:47	専用:TETSU-LOW	
Don't be afraid myself	-	566	960	1155	-	621	935	1094	-	2:03	専用:yagi-denko	
earth scape	-	230	530	644	-	230	507	-	-	2:06	専用:HES	
FAKE TIME	-	534	916	1231	-	534	879	1178	-	1:45	8th HOUSE汎用+ミスレイヤー*2	GOLI
Fly Away To India	-	344	562	712	-	344	562	-	-	1:50	10th POPS汎用+ミスレイヤー	GOLI
GENOCIDE	-	587	1103	1222	-	588	1211	1456	-	1:38	9th TECHNO汎用+ミスレイヤー	MAYA
gigadelic	355	771	1116	1301	-	754	1110	1344	-	2:08	10th TECHNO汎用+ミスレイヤー	GOLI
HORIZON	-	546	786	990	-	547	818	1027	-	2:07	専用:MAYA	
KEY	-	573	950	1436	-	573	989	1400	-	2:07	専用:VJ GYO	
NEBULA GRASPER	-	691	1029	1241	-	724	1029	1155	-	2:02	専用:Ta-k	
Raspberry♡Heart(English version)	-	531	797	932	-	524	772	901	-	1:47	専用:いとういつお	
RED ZONE	89	567	975	1184	1566	611	941	1232	1502	1:47	6th EURO汎用	
RESONATE 1794	-	469	745	951	-	469	744	-	-	2:08	専用:HES	
Secret of Love	-	553	747	1019	-	496	767	-	-	2:02	専用:MAYA	
SPEEDY CAT	-	569	861	1028	-	566	884	978	-	1:57	専用:VJ GYO	
Sphere	-	541	996	1111	-	522	897	1139	-	1:52	10th TECHNO汎用	
spiral galaxy	-	545	1061	1310	1910	564	1038	1139	2070	2:11	専用:HES	
The Hope of Tomorrow	-	536	874	992	-	535	855	989	-	2:21	専用:pam	
ＵＬＴｉＭΛＴＥ	-	480	744	1006	-	451	736	-	-	2:00	10th TRANCE汎用	
Wonder Bullfighter	-	489	747	1062	-	451	729	1086	-	2:03	専用:matsu＠tksd / 東京食堂	
大桟橋	-	247	574	937	-	247	574	-	-	1:57	専用:F-FLY	
太陽～T・A・I・Y・O～	-	419	725	880	-	419	725	-	-	1:51	専用:VJ GYO	
ピアノ協奏曲第１番”蠍火”	-	422	1111	1414	-	473	1031	1730	-	2:07	専用:VJ GYO/F-FLY	
beatmania IIDX 12 HAPPY SKY ▲ ▼ △												
Agnus Dei	-	466	850	1051	-	465	791	1051	-	1:52	専用:nono	
alla turca con passione	-	409	829	1103	-	396	831	1057	-	2:00	専用:F-FLY	
Aurora	-	714	1100	1280	-	675	1043	1218	-	1:57	専用:ТОЧКА	
CaptivAte～浄化～	-	541	946	1243	1738	540	936	1235	1691	2:13	9th TECHNO汎用(色違い)+ミスレイヤー	GOLI
Catch Me	-	405	678	925	1106	403	685	922	1189	1:51	10th HOUSE汎用+ミスレイヤー	GOLI
Don't let it go	-	360	647	852	-	360	640	852	-	1:42	専用:F-FLY	
double thrash	-	527	1066	1206	-	527	1048	-	-	2:05	専用:GOLI	
EDEN	-	660	969	1363	1637	640	733	1377	1647	2:07	専用:GOLI	
EMPTY OF THE SKY	-	334	526	843	-	334	526	842	-	2:05	専用:GOLI	
First Resolution	-	421	808	1077	-	421	819	1077	-	1:53	専用:F-FLY	
garden	-	440	773	1100	1583	461	774	1396	1756	2:26	10th AMBIENT汎用+ミスレイヤー	GOLI
Get'em up to R.A.V.E	-	599	892	1158	-	595	890	-	-	2:27	専用:mito	
GREEN EYES	-	507	827	1123	-	494	828	1123	-	2:00	専用:chihico	
HAPPY☆ANGEL	332	555	782	1052	-	555	776	1073	-	1:54	7th DANCE汎用+ミスレイヤー	GOLI
I am	-	555	883	1096	-	611	883	-	-	2:03	専用:yagi-denko	
in motion	-	432	545	661	-	432	545	661	-	1:43	専用:Voijiy	
INAZUMA	-	561	930	1368	2042	584	917	1554	1902	1:56	専用:tats	
LESSON 5	-	654	949	1261	-	542	939	1471	-	2:04	専用:東京食堂(kjk)	
Little Little Princess	-	558	1118	1420	1946	560	1171	1610	2035	※	専用:MAYA	
Love Magic	-	515	895	991	-	515	895	-	-	2:02	10th POPS汎用+ミスレイヤー	MAYA
mind the gap	-	395	550	840	-	378	564	856	-	1:53	専用:たかたん	
MOON RACE	-	434	598	957	-	433	598	-	-	1:56	専用:MARS	
Pink Rose	-	297	486	708	1012	297	486	770	1074	1:53	専用+ミスレイヤー:HES	HES
PLASMA	-	479	848	1145	-	479	848	-	-	2:10	8th CYBER汎用+ミスレイヤー	GOLI
Pollinosis	-	405	590	1278	-	464	644	829	-	2:01	専用:F-FLY	
POODLE	-	492	956	1156	1707	493	880	1438	1796	1:59	専用:F-FLY	
rage against usual	-	697	1060	1527	-	697	1081	1215	1664	2:06	10th TECHNO汎用+ミスレイヤー	GOLI
SCREAM SQUAD	-	609	869	1073	-	579	863	1072	-	1:49	専用:F-FLY	
Scripted Connection⇒ A mix	-	865	1155	1575	1749	1079	1269	1382	1816	2:00	8th TECHNO汎用+ミスレイヤー	GOLI
Scripted Connection⇒ H mix	-	875	1059	1275	1466	879	1005	1366	1526	1:49	8th TECHNO汎用+ミスレイヤー	GOLI
Scripted Connection⇒ N mix	-	674	858	1073	1247	661	909	1179	1349	1:48	8th TECHNO汎用+ミスレイヤー	GOLI
SigSig	338	548	864	1309	-	552	884	1259	-	2:05	専用:MAYA+ミスレイヤー	MAYA
Tizona d'El Cid	-	495	1000	1178	-	491	1000	-	-	2:06	専用:F-FLY+レイヤー	F-FLY
Twelfth Style	-	630	778	1033	1684	707	976	1070	1748	2:07	専用:MAYA	
Under the Sky	-	458	710	875	-	390	670	830	-	2:02	専用:F-FLY	
vault of heaven	-	401	728	1010	-	401	728	1020	-	1:52	専用:XTC+ミスレイヤー	XTC
Votum stellarum	-	413	857	1017	-	413	965	-	-	1:59	専用:shio	
We are Disっ娘よっつ打ち命	-	336	490	837	-	336	490	873	-	2:02	専用:VJ GYO	
Xepher	205	571	1135	1520	-	559	1089	1498	-	2:03	専用:MAYA	
100% minimoo-G	-	474	871	903	-	474	871	1414	-	1:56	9th TECHNO汎用+レイヤー	eimy
オレはビートマニア！お前は何マニア？	-	414	763	873	-	414	752	789	-	1:58	専用:東京食堂(izm)	
合体せよ！ストロングイェーガー！！ (Ryu☆ remix)	-	564	807	972	-	556	784	935	-	1:58	専用:Yasi	
月光	-	455	900	1246	-	440	922	1175	-	2:15	専用:東京食堂(matsushita)	
ヒマワリ	-	285	947	1042	-	396	856	943	-	1:56	専用:amamon.	
冥	302	555	1111	2000	-	555	1104	2000	-	1:57	専用:Ta-K	
ラクエン	-	369	498	1034	-	368	723	1033	-	2:30	専用:HES	
beatmania IIDX 13 DistorteD ▲ ▼ △												
ALFARSHEAR 双神威に廻る夢	222	548	838	1049	-	548	838	1043	-	1:51	専用:GOLI	
Apocalypse ～dirge of swans～	121	510	921	1214	-	480	981	1270	-	2:09	専用:Michael=Kerorich (kaeru)	
BALLAD THE FEATHERS	-	367	554	764	-	357	560	-	-	1:41	専用:松田慎一郎	
Bloody Tears(IIDX EDITION)	-	574	1012	1094	-	574	1009	1280	-	1:53	専用:MAYA	
BOOM BOOM DISCO NIGHT	-	520	938	1151	-	520	927	1148	-	2:01	専用:tyke	
Broadbanded	-	454	726	1019	-	436	727	899	-	2:02	8th CYBER汎用+ミスレイヤー	VJ GYO
Concertino in Blue	198	460	915	1311	-	486	972	1425	-	1:39	専用:tqy	
CONTRACT	-	648	863	1056	1418	607	856	1050	1545	1:47	CARDINAL GATE汎用+ミスレイヤー	あけのすずめ(VJ GYO)
D.C.fish	-	513	998	1178	-	505	888	1228	-	2:00	専用:XTC+ミスレイヤー	XTC
DEEP ROAR	-	503	726	1387	-	500	720	1378	-	1:57	6th EURO汎用	
Double♡♡Loving Heart	-	292	671	909	-	393	730	1127	-	2:08	専用:ウサギ王 feat.せり★のりか	
