SP					DP				BPM	GENRE	TITLE	ARTIST	
B	N	H	A	L	N	H	A	L					
beatmania IIDX ▼ △													
-	5	8	11	-	5	9	11	-	155	HARD DANCE	合体せよ！ストロングイェーガー！！ (Ryu☆ remix)	L.E.D./Remixed by Ryu☆	
-	5	8	10	-	4	9	10	-	155	J-EUROBEAT	月光	Tatsh feat. 星野奏子	
-	3	9	10	-	4	8	9	-	185	J-HAPPY HARDCORE	ヒマワリ	小坂りゆ	
3	5	10	12	-	5	11	12	-	66-200	HUMAN SEQUENCER	冥	Amuro vs Killer	
-	4	6	11	-	4	9	11	-	99-198	REGGAE	ラクエン	Chonan Chiharu	
beatmania IIDX 13 DistorteD ▲ ▼ △													
2	5	7	10	-	6	9	10	-	170	HYPER J-POP SEVEN	ALFARSHEAR 双神威に廻る夢	TЁЯRA	
1	5	9	10	-	5	8	11	-	170	ORATORIO	Apocalypse ～dirge of swans～	Zektbach	
-	4	6	8	-	5	8	-	-	132	CELTIC REEL	BALLAD THE FEATHERS	S.S.D.FANTASICA feat.Naomi Koizumi	
-	5	9	10	-	5	10	11	-	170	HARD RENAISSANCE	Bloody Tears(IIDX EDITION)	DJ YOSHITAKA	
-	5	8	10	-	5	9	10	-	155	EUROBEAT	BOOM BOOM DISCO NIGHT	Y&Co.	
-	5	8	11	-	4	10	11	-	140	TRANCE	Broadbanded	SADA	
2	5	10	12	-	5	10	12	-	103-155	PROGRESSIVE	Concertino in Blue	佐々木博史	
-	9	10	11	12	7	10	12	12	180	SUBLIME TECHNO	CONTRACT	朱雀	
-	5	9	11	-	5	8	11	-	155	TECHNO	D.C.fish	DJ MURASAME	
-	5	7	11	-	5	7	11	-	165	SUPER RAVE BEAT	DEEP ROAR	NAOKI&Tatsh	
-	3	6	9	-	4	7	10	-	138	J-POP	Double♡♡Loving Heart	Tatsh feat. Junko Hirata ＆ Sayaka Minami	
-	6	9	12	-	6	10	12	-	100-400	TECHNO	DUE TOMORROW	Mr.T	
-	5	8	10	-	5	8	11	-	161	80's TECHNO	EURO-ROMANCE	K-MASERA	
-	6	10	11	12	8	11	12	12	72-82	ESOTERIC SLOWCORE	Ganymede	玄武	
-	4	8	11	-	5	9	11	-	135	PROGRESSIVE HOUSE	Harmony and Lovely	Ryu☆	
-	4	7	10	-	4	8	10	-	130	TRANCE	Heavenly Sun (IIDX VERSION)	AKIRA YAMAOKA	
-	5	7	9	-	5	7	10	-	135	BRAZILIAN HOUSE	INFERNO	Caldeira feat.星野奏子	
-	4	8	10	-	4	7	10	-	145	SYMPHONIC EURO	Leaving...	SEIYA MURAI meets “eimy”	
-	6	10	11	-	5	10	12	-	150	ELECTRONICA	MINT	SLAKE	
-	5	9	10	-	5	10	-	-	156	哀愁ユーロ	MOON	dj TAKA feat.Erika Mochizuki	
-	5	7	10	-	4	8	10	-	135	2 STEP	Power of Love	kors k feat.PSY	
-	5	8	10	-	5	9	11	-	149	BUCHIAGE TRANCE	So Fabulous !!	HHH (Ryu☆ & Dai)	
-	3	8	11	-	5	9	11	-	152	HAPPY POP	Sun Field	mh sequence	
-	7	10	11	-	7	10	10	-	165	SADISTIC HARDCORE	The Dirty of Loudness	Tatsh Assault X	
-	4	8	10	-	5	8	-	-	175	CORE POP	This is Love	D-crew feat.MAKOTO	
-	6	10	11	-	7	10	12	-	187	GABBA	tripping contact(teranoid&MC Natsack Remix)	kors k vs teranoid	
-	5	9	11	-	6	10	-	-	159	PSYCHEDELIC TRANCE	TYPE MARS(G-Style Mix)	L.E.D.	
-	7	10	11	12	7	10	11	12	191	DANCE SPEED	waxing and wanding	青龍	
3	5	8	10	-	5	9	11	-	160	LOVERS EUROBEAT	Why did you go away	jun with TAHIRIH	
-	5	8	9	-	5	8	9	-	155	EUROBEAT	WISH(EUROBEAT MIX)	DJ YOSHITAKA feat.杉村ことみ	
-	4	6	9	-	4	7	11	-	135	FUNK'N JAZZ HOUSE	with you…	Sota Fujimori	
-	5	7	10	-	5	8	11	-	160	CYBER OPUS	Zenius -I- vanisher	Tatsh	
-	6	9	12	-	6	9	12	-	140	和式電子音楽	カゴノトリ～弐式～	橙色特別室	
-	6	10	11	12	7	10	12	12	199	ASIAN MIXTURE	華蝶風雪	白虎	
-	5	7	9	-	5	7	10	-	180	POPROCK	タシカナモノ	星野奏子 with the BAND	
-	8	11	12	-	7	11	12	-	160	CONTEMPORARY	嘆きの樹	金獅子	
-	5	8	9	-	5	7	8	-	160	LOVELY TRANS POP	虹色	DJ YOSHITAKA feat. G.S.C license	
-	3	8	10	-	4	7	-	-	180	DRUM'N'ROCK	罠	good-cool	
beatmania IIDX 14 GOLD ▲ ▼ △													
-	5	6	8	-	5	7	8	-	171	FLOW POP	Air Bell	D-crew	
-	5	9	10	-	5	10	-	-	152	PSYCHEDELIC SYNTH TRANCE	ANDROMEDA II	Sota Fujimori	
-	6	8	11	-	7	8	10	-	137-165	EPIC POETRY	Blind Justice ～Torn souls, Hurt Faiths ～	Zektbach	
-	7	10	12	-	6	8	12	12	184	HAPPY	Candy Galy	Risk Junk-G	
-	6	9	10	-	6	9	11	-	160	NOSTALISH REQUIEM	CaptivAte～誓い～	A/I	
3	6	8	9	-	5	9	11	-	180	NOSTALISH REQUIEM	CaptivAte～裁き～	DJ YOSHITAKA feat.A/I	
-	5	8	10	-	6	8	10	-	170	DRAMATIC EURO TRANCE	CROSSROAD ～Left Story～	jun with TAHIRIH	
-	5	9	10	-	6	8	8	-	146	CYBORG TRANCE	Cyber Force	Sota Fujimori feat.cyborg AKEMI	
-	9	11	12	-	9	10	12	-	100-400	SuperNOVA BEAT	Fascination MAXX	100-200-400	
3	7	10	12	-	7	9	11	-	150	BUCHIAGE TRANCE	FIRE FIRE	StripE	
-	4	6	8	-	4	8	-	-	157	ROCK	four-leaf	Sis Bond Chit	
3	7	9	11	-	6	8	10	-	162	RECKLESS RAVE	GOLD RUSH	DJ YOSHITAKA-G feat.Michael a la mode	
-	6	8	10	12	7	8	10	12	160	ELECTRONICA	GRID KNIGHT	SAW WAVE SQUAD	
-	5	7	9	-	5	7	9	-	132	FILTER HOUSE	heaven above	kors k	
2	4	6	9	-	5	7	9	-	180	HIGH SPEED LOVE SONG	High School Love	DJ YOSHITAKA feat.DWP	
-	6	10	11	-	6	9	12	-	146	MILLENNIUM TRANCE	INORI	dj TAKA feat.HAL	
-	6	9	11	12	8	10	12	12	165	FREEFORM HARDCORE	KAMAITACHI	DJ TECHNORCH fw. GUHROOVY	
-	7	11	12	-	7	11	12	-	152	NU-SKOOL BREAKS	LASER CRUSTER	L.E.D.	
-	3	4	5	-	4	5	-	-	110	POPS	Love Again...	Tatsh feat. Junko Hirata	
-	5	9	10	-	4	9	11	-	130	HOUSE	Make Me Your Own	good-cool ft. Raj Ramayya	
-	4	8	9	-	5	7	-	-	150	OLDSKOOL HARDCORE RAVE	METALLIC MIND	DJ TECHNORCH fw. GUHROOVY	
-	4	7	8	-	4	6	-	-	130	DANCE POP	never…	Kanako Hoshino with dj TAKA	
-	4	9	10	-	6	11	12	-	100-350	PIANO CONCERTO	op.31 叙情	akiko	
-	7	10	10	-	7	9	11	-	176	DRUM & BASS	PHOTONGENIC	L.E.D. fw.堀澤麻衣子	
-	5	8	10	-	5	8	10	-	160	EUROBEAT	Roulette	Y&Co.	
1	5	8	11	-	6	8	11	-	149	HANDZ UP	Second Heaven	Ryu☆	
-	9	11	12	-	9	12	12	-	140	RAVE	Sense 2007	good-cool	
-	7	9	11	-	7	9	12	-	189	ELE POP	smile	miru_maki.gjw	
1	4	9	10	12	4	10	12	-	145	TRANCE	snow storm	dj TAKA	
-	6	9	11	-	5	9	11	-	156	SCHRANZ	the shadow	kors k	
-	4	7	8	-	4	6	7	-	136	POP	The Smile of You	猫叉Master feat.JESSY	
-	5	10	11	"[CN]
12"	6	10	12	"[CN]
12"	130-190	PSG WORKS	TRANOID	T&S seq. factory	
-	8	11	12	12	7	11	12	12	185	DECEPTIVE GABBA	VANESSA	朱雀	
-	4	6	9	-	4	6	-	-	121	HIP HOP	Watch out!!	MAD Sequence*	
-	4	6	8	-	4	7	8	-	135	J-HOUSE	With your Smile	Shoichiro Hirata plus Junko Hirata	
-	4	7	9	-	4	9	10	-	140-155	HINDU SALSA	2hot2eat	Osamu Kubota	
2	5	8	10	-	5	8	10	-	185	FUTURE POP	クルクル☆ラブ～Opioid Peptide MIX～	イオンチャンネル	
1	6	8	9	-	6	8	10	-	180	HYPER J-POP ZERO	零 - ZERO -	TЁЯRA	
3	7	10	12	-	7	10	12	-	165	NU-NRG	電人、暁に斃れる。	L.E.D.-G	
-	4	6	8	-	5	7	8	-	150	JAPANESE ALTERATION	花吹雪 ～ IIDX LIMITED ～	S.S.D.FANTASICA feat.ユッコ	
-	7	9	10	-	6	9	10	-	165	J-POP	星をこの手に	DJ YOSHITAKA feat.星野奏子	
-	5	7	9	-	5	6	8	-	150	TECHNO	ヨシダさん	AKIRA YAMAOKA	
-	6	8	10	-	6	8	-	-	155	EURO TRANCE	リグレット	星野奏子	
beatmania IIDX 15 DJ TROOPERS ▲ ▼ △													
-	6	10	11	12	6	10	12	12	185	HARD RENAISSANCE	Anisakis -somatic mutation type"Forza"-	朱雀	
-	4	7	10	-	5	9	10	-	130-146	CLASSICAL PIANO SOLO	avant-guerre	Osamu Kubota	
-	5	8	10	11	6	9	12	-	160	EUROBEAT	Be OK	good-cool ft. Florence	
-	5	8	9	-	5	7	10	-	165	TECH-TRONIKA	beatonic nation	Sota Fujimori	
2	6	8	11	12	6	7	10	12	144	TRANCE	Blue Rain	dj TAKA VS Ryu☆	
-	4	6	8	-	5	7	-	-	100	J-R&B	Darling my LUV	DJ Yoshitaka feat.B-Agents	
2	4	7	10	-	5	7	11	-	149	HANDZ UP	Dazzlin' Darlin	HHH	
-	6	9	11	-	5	8	10	-	128	TECH-BREAKBEATS	Digitank System	DJ Mass MAD Izm*	
-	8	10	11	12	5	10	12	12	300	N-BEATS	Do it!! Do it!!	Kraken	
-	6	9	10	-	5	10	11	-	162	FRENZY HOUSE	end of world	猫叉Master+	
-	5	7	10	-	5	8	11	-	133	PROG	evergreen	kors k	
-	5	10	11	12	6	10	12	12	125-195	JUNGLE	four pieces of heaven	Lion	
2	4	7	10	-	5	8	9	-	145	TRANCE	Freeway Shuffle	dj TAKA	
-	7	10	12	12	7	10	12	12	126-251	NU-SKOOL BREAKBEATS HARDCORE	ICARUS	Eagle	
-	7	9	11	-	7	10	11	-	180	HAPPY HARDCORE	in the Sky	Ryu☆	
-	5	7	9	-	5	7	10	-	160	E-DANCE POP	Kick Out 仮面	上野圭市(aka. Babyweapon,DJ SWAMI)feat.星野奏子	
-	6	9	10	-	7	10	11	-	178	HAPPY HARDCORE	LOVELY STORM	L.E.D.-G	
-	4	7	10	-	3	7	10	-	125	PROGRESSIVE HOUSE	madrugada	PINK PONG	
-	5	8	10	-	7	9	10	-	180	LOVELY BUCHIAGE POP	MAX LOVE	DJ YOSHITAKA feat.星野奏子	
-	6	11	12	-	6	10	12	-	168	IRREGULAR HI-BREAK	MENDES	Humanoid	
-	6	10	11	-	6	9	11	-	145	HARD HOP	MENTAL MELTDOWN	GUHROOVY fw.TECHNORCH	
-	5	9	10	12	6	9	11	12	165	ONLY ONE EURO BEAT	NEW GENERATION -もう、お前しか見えない-	SUPER STAR 満-MITSURU-	
-	7	10	12	-	7	9	12	-	162	HYMNUS	oratio	蓑舞衆	
-	7	11	12	-	8	11	12	-	75-300	SUPERNOVA2 BEAT #1	PARANOiA ～HADES～	αTYPE-300	
-	3	7	8	-	4	6	8	-	70	BALLAD	PROMISE FOR LIFE	TЁЯRA WORKS	
-	6	9	10	-	6	9	11	-	171	TRI EURO FANTASIA	REMINISCENCE	jun with Alison	
-	"[HCN]
5"	"[HCN]
9"	"[HCN]
11"	-	"[HCN]
5"	"[HCN]
9"	"[HCN]
11"	-	172	UK HARDCORE	Rising in the Sun(original mix)	kors k feat.Rie	
-	6	9	12	-	5	8	10	11	160	OUVERTÜRE	Ristaccia	Zektbach	
-	6	9	11	-	8	10	12	-	154	HARD HOUSE	satellite020712 from "CODED ARMS"	猫叉Master	
-	5	7	9	-	6	8	10	-	180	RAVE	satfinal	RAM	
-	4	5	8	-	4	7	9	-	141	WORLD/ELECTRONICA	scar in the earth	猫叉Master	
2	6	10	11	-	6	9	10	-	184	FREEFORM HARDCORE	SOUND OF GIALLARHORN	L.E.D.-G	
-	5	8	11	-	6	8	12	-	155	TECHNOTRONICA	State Of The Art	Sota Fujimori feat. cyborg AKEMI	
-	6	10	11	12	6	10	11	12	205	BREAK CORE	STEEL NEEDLE	Scorpion	
-	5	9	11	-	5	9	11	-	152	ULTIMATE J-POP	switch	DAISUKE ASAKURA ex.TЁЯRA	
2	6	10	11	12	5	10	11	12	173	NU STYLE GABBA	THE DEEP STRIKER	L.E.D.-G	
-	5	7	9	11	6	9	10	12	150	ETHNOTRONICA	the trigger of innocence	Seiya Murai	
-	6	10	11	12	7	9	11	12	191	DANCE SPEED	Time to Air	青龍	
-	6	9	10	-	6	9	11	-	80-160	SUPERNOVA2 BEAT #2	TRIP MACHINE PhoeniX	DE-SIRE 改	
-	6	10	12	-	6	10	12	-	177	ULTIMATE CORE	TROOPERS	Des-TRACT	
-	6	10	11	12	7	10	11	12	174	PROGRESSIVE BAROQUE	Übertreffen	TAKA respect for J.S.B.	
-	4	7	8	11	3	6	9	12	128	PIANO HOUSE	Wanna Party?	RAM	
-	5	7	11	-	5	7	10	-	140	TRIBAL	2 tribe 4 K	Remo-con	
2	4	6	9	-	4	6	9	-	125	80's EURO	エコ爺	Y&Co.	
-	5	8	9	-	5	9	10	-	150	SYMPHONIC TECHNO	高高度降下低高度開傘	Dr.Honda	
-	6	10	12	-	6	10	12	-	90-192	POST RENAISSANCE	少年A	Remixed by 少年ラジオ	
-	3	4	7	-	3	5	-	-	68-85	SOLDIER'S BALLAD	走馬灯 -The Last Song-	TAKA	
2	6	8	10	12	7	9	10	12	160	HYPER JAPANESQUE 2	華爛漫 -Flowers-	TЁЯRA	
-	4	6	8	-	4	7	9	-	152	EDUCATION	マチ子の唄	AKIRA YAMAOKA	
-	5	9	10	"[CN]
12"	6	10	12	-	144	FUSION	ミラージュ・レジデンス	Jimmy Weckl	
beatmania IIDX 16 EMPRESS ▲ ▼ △													
-	5	7	9	-	6	7	9	-	145	HARD CORE	ALL I NEED YOUR LOVE	GUHROOVY fw. M-Project	
-	6	9	11	-	6	9	11	-	170	ONLY ONE EURO BEAT	ALL MY TURN -このターンに、オレの全てを賭ける-	SUPER STAR 満-MITSURU-	
-	6	10	11	12	6	10	11	12	180	ARABIC HARDCORE	Arabian Rave Night	dj MAX STEROID	
-	6	9	11	12	7	9	11	12	170	RECKLESS RAVE	B4U(BEMANI FOR YOU MIX)	Remixed by DJ YOSHITAKA with Michael a la mode	
-	4	9	10	11	5	9	11	11	155	HOUSE	Bahram Attack-猫叉Master Remix-	猫叉Master feat.JUNE	
-	5	10	12	-	5	10	11	12	165	JUMPSTYLE	BITTER CHOCOLATE STRIKER	L.E.D.-G	
-	4	7	9	-	5	8	9	-	138	HAPPY ☆ JIG	BRIDAL FESTIVAL !!!	S.S.D. with ななっち	
1	6	9	11	-	5	9	11	-	175	NOSTALISH REQUIEM	CaptivAte2～覚醒～	e-lma	
3	5	10	12	-	7	10	12	-	180	HAPPY HARDCORE	Colorful Cookie	Lucky Vacuum	
-	5	9	10	-	6	9	10	-	146	BUCHIAGE TRANCE	Cyber Force -DJ Yoshitaka Remix-	Remixed by DJ YOSHITAKA	
-	4	8	10	11	5	8	9	10	155	MEGA MIX	Flash Back 90's	kors k as disconation	
-	5	6	8	-	5	8	9	-	150	DREAM TRANCE	Fly Above	Sota Fujimori	
3	6	10	12	-	6	10	12	-	200	TRANCE CORE	Go Beyond!!	Ryu☆ Vs. Sota	
-	6	9	11	-	6	9	11	-	150	MORNING FULL ON	HYPERION	L.E.D.	
-	4	6	7	-	5	7	9	-	147	TECHNO POP	I'm Screaming LOVE	Creative Life	
-	5	7	10	-	5	8	11	-	116	MIXTURE	Jack	DesQ	
-	4	8	11	-	5	8	11	-	136	NU SKOOL BREAKS	Just a Little Smile	Sota Fujimori	
-	6	10	11	12	6	10	11	12	177	ASIAN JANGLE	Kung-fu Empire	飛燕流舞	
-	6	9	11	12	6	9	11	11	205-248	宮廷円舞曲	Marie Antoinette	Marguerite du Pré	
3	4	7	9	10	4	7	8	11	128	ELECTRO-TECH	Mind Mapping	Ryu☆	
-	4	8	10	-	4	8	11	-	155	EUROBEAT	Monkey Dance '09	Y&Co. Feat. DOMINO	
2	4	7	9	10	5	8	9	11	160	DANCE MUSIC OF SORROW	NΦ CRIME	C×F	
-	5	9	11	11	5	8	10	11	145	TECH-BREAKBEATS	naughty girl@Queen's Palace	DJ Mass MAD Izm*	
-	4	6	9	11	5	7	9	11	151	ENERGETIC TRANCE	neogenesis	DM Ashura	
-	5	9	11	-	5	10	11	-	153	PSY TRANCE(FULL ON)	Programmed World	kors k as StripE	
-	5	8	10	11	6	9	10	12	172	E-DANCE POP	Punch Love♡仮面	上野圭市(aka. Babyweapon,DJ SWAMI)feat.星野奏子	
-	4	8	10	-	4	8	9	-	152	BIGBEAT	Queen's Tragedy	猫叉Master+	
-	6	9	11	12	5	10	11	12	150	TECH-PARA	Secrets	good-cool ft. CHiCO	
2	4	8	10	11	5	8	10	"[CN]
11"	177	CANDY RAVE	smooooch・∀・	kors k	
-	6	9	10	-	7	10	11	-	152	TECHNO	SOLITON BEAM	L.E.D.	
-	5	9	10	12	5	8	10	11	45-170	ONLY ONE EPILOGUE	THANK YOU FOR PLAYING	SUPER STAR 満-MITSURU-	
-	6	9	11	-	6	9	11	-	172	UK HARD CORE	THE SHINING POLARIS(kors k mix)	Remixed by kors k	
-	5	7	9	12	5	8	10	12	128	HOUSE	thunder HOUSE NATION Remix	Remix by Sunset In Ibiza (SII)	
2	4	9	10	-	4	8	10	-	148	ELEMENTAL CHANT	Turii ～Panta rhei～	Zektbach	
3	6	10	11	-	5	10	11	-	150	PROGRESSIVE	V2	TAKA	
-	5	9	12	-	5	10	12	-	145-876	90's RAVE	Y&Co. is dead or alive	Y&Co.	
-	6	10	11	-	7	10	11	-	155	ONLY ONE TECHNO	You'll say "Now!"	BLACK STAR 幸広-YUKIHIRO-	
3	7	10	12	-	8	10	12	-	191	DANCE SPEED	3y3s	青龍	
-	4	7	9	10	5	8	9	11	148	J-TRANCE	翼	小林ゆう	
-	5	10	11	-	5	10	11	-	150	RAGE AGAINST EMPRESS	天空脳番長危機十六連打	D.J.SETUP	
-	4	7	10	-	5	9	10	-	160	IRON CONCERTO	鉄甲乙女-under the steel-	Seiya Murai	
-	5	8	10	-	5	8	10	-	143	HOU-ROCK	ハリツヤランデヴー	Des-MASTERS	
-	6	11	12	-	7	11	12	-	83-185	ESOTERIC SPEEDCORE	卑弥呼	朱雀 VS 玄武	
3	6	9	12	-	6	9	11	-	188	HARDCORE	不沈艦CANDY	Risk Junk	
-	5	7	9	-	5	8	11	-	149	J-DANCE POP	まほろば	HHH+H	
-	5	7	11	-	5	8	12	-	150	TRENDY TECHNO	ミッドナイト堕天使	Dr.Honda	
-	4	7	10	-	5	8	10	-	148	ポップス	山岡晃の「クイズ！家事都合！」	AKIRA YAMAOKA feat.喜屋武ちあき	
2	6	9	10	11	6	9	10	12	163	撫子ロック	凛として咲く花の如く	紅色リトマス	
beatmania IIDX 17 SIRIUS ▲ ▼ △													
3	7	9	11	12	6	9	11	12	180	SPEEDCORE	AIR RAID FROM THA UNDAGROUND	GUHROOVY	
-	"[CN]
[BSS]
7"	"[CN]
[BSS]
11"	"[CN]
[BSS]
12"	-	"[CN]
[BSS]
6"	"[CN]
[BSS]
11"	"[CN]
[BSS]
12"	-	178	AKASHIC RECORDS	Almagest	Galdeira	
-	7	10	12	-	7	10	12	-	195	INDUSTRIAL	Bad Maniacs	kors k as teranoid	
1	4	7	10	-	5	7	10	-	140	BUBBLEGUM DANCE	bass 2 bass	Ryu☆	
-	5	8	9	-	5	8	10	-	175	E-DANCE POP	beatchic☆仮面～好き、でいさせて～	上野圭市(transforming into Masao♥Lovely)feat.星野奏子	
-	4	8	10	-	5	8	10	-	172	DRUM'N'BASS	BEAUTIFUL ANGEL	"DJ SWAN
[A] DJ SWAN (Toshiaki Komiya & Keiichi Ueno)"	
-	4	7	10	-	3	7	9	-	102	ELECTRO POP	being torn the sky	猫叉Master+ feat.JUNE	
2	"[CN]
7"	"[CN]
9"	"[CN]
11"	-	"[CN]
6"	"[CN]
10"	"[CN]
11"	-	181	HAPPY HARDCORE	bloomin' feeling	Ryu☆	
-	6	8	10	-	5	8	10	-	180	SUBLIME TECHNO	CaptivAte～裁き～(SUBLIME TECHNO MIX)	Remixed by DJ YOSHITAKA	
-	"[CN]
8"	"[CN]
10"	"[CN]
11"	-	"[CN]
6"	"[CN]
10"	"[CN]
11"	-	30-240	NEXT SKOOL BREAKBEATS HARDCORE	D	Eagle	
-	7	9	11	-	8	9	10	-	183	DRUM & BASS	DAWN -THE NEXT ENDEAVOUR-	L.E.D. fw.堀澤麻衣子	
-	4	8	10	-	5	8	11	-	160	EUROBEAT	Dazzlin' Darlin-秋葉工房mix-	Remixed by DJ Command	
-	5	9	11	-	5	8	10	-	175	UK HARDCORE	DESIRE	M-Project fw. GUHROOVY	
-	"[MSS]
4"	"[MSS]
7"	"[MSS]
10"	-	"[MSS]
5"	"[MSS]
9"	"[CN]
[MSS]
10"	-	136	ELECTRO	Do Back Burn	PRASTIK DANCEFLOOR	
-	7	10	12	-	5	10	12	-	196	HARDCORE	DOMINION	L.E.D.-G	
-	4	9	11	-	4	8	11	-	152	WHITE SEQUENCE	DROP	dj TAKA feat.Kanako Hoshino	
2	"[CN]
[BSS]
6"	"[CN]
[BSS]
10"	"[CN]
[BSS]
11"	-	"[CN]
[BSS]
5"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	185	TRANCE CORE	Elisha	DJ YOSHITAKA	
-	6	9	11	-	6	10	11	-	173	CYBERPUNK	Empire State Glory	Dirty Androids	
-	7	10	12	-	8	10	12	-	135-270	HARDCORE	eRAseRmOToRpHAntOM	L.E.D.-G VS GUHROOVY	
3	6	11	12	-	7	10	12	-	185	HARD RENAISSANCE	"Evans
[B][N][H] Evans -prototype-
[A]Evans"	DJ YOSHITAKA	
-	6	10	12	-	8	10	12	-	188	HARDCORE	EXUSIA	L.E.D.-G	
-	7	10	12	-	6	11	12	-	170	EXPERIMENTAL MUSIC	G59	怒れる金の獅子	
-	6	10	11	-	7	10	12	-	165	HARDCORE TECHNO	GALGALIM	L.E.D.	
-	5	9	12	-	6	8	12	-	150	TECHNO	GOLDEN CROSS	dj REMO-CON VS dj TAKA	
-	5	8	10	11	5	8	10	11	143	TECH DANCE	Hydrogen Blueback	MAD CHILD	
3	4	7	9	-	4	8	10	-	155	EUROBEAT	IN THE NAME OF LOVE	Y&Co.feat.Erica	
-	5	9	10	-	5	9	11	-	166	EUROBEAT	Keep it-秋葉工房mix-	DJ Command feat. NAGISA	
-	5	7	10	-	4	7	9	-	130	ELECTRO	Last Burning	Dirty Androids	
-	"[CN]
5"	"[CN]
7"	"[CN]
10"	-	"[CN]
5"	"[CN]
9"	"[CN]
11"	-	140	BUBBLEGUM DANCE	Light Shine	Ryu☆	
-	"[CN]
[BSS]
6"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	"[CN]
[BSS]
6"	"[CN]
[BSS]
9"	"[CN]
[BSS]
10"	-	160	BUCHIAGE TRANCE	MIRACLE MEETS	Lucky Vacuum	
-	7	10	12	-	7	8	11	-	188	TECHNO POP SPEED	mosaic	Auridy	
-	"[CN]
6"	"[CN]
10"	"[CN]
11"	-	"[CN]
6"	"[CN]
9"	"[CN]
11"	-	200	ONLY ONE IDOL SONG	NEW SENSATION -もう、あなたしか見えない-	SUPER HEROINE 彩香-AYAKA-	
-	4	7	10	-	4	7	9	-	160	TECHNO POP	NoN-Fiction Story!	Creative Life	
-	"[CN]
6"	"[CN]
9"	"[CN]
11"	-	"[CN]
4"	"[CN]
9"	"[CN]
10"	-	144	PSY TRANCE(MORNING)	Programmed Sun	kors k	
-	4	9	12	-	7	9	12	-	※	TRANCE	quell～the seventh slave～	dj TAKA Vs. DJ YOSHITAKA	
-	5	10	11	-	6	10	12	-	155-175	ASTRAL CHOIR	Raison d'être～交差する宿命～	Zektbach	
-	6	10	12	-	6	9	12	-	158	TECH-BREAKBEATS	Red. by Full Metal Jacket	DJ Mass MAD Izm*	
-	4	7	9	-	5	7	9	-	158	ACTRESS	Roots of my way!	ナイア	
-	"[CN]
6"	"[CN]
9"	"[CN]
11"	-	"[CN]
8"	"[CN]
9"	"[CN]
11"	-	79-178	ELECTRIC FUSION	Session 1 -Genesis-	PRASTIK DANCEFLOOR	
3	5	9	10	-	5	9	10	-	85-170	ONLY ONE BALLAD	She is my wife	SUPER STAR 満-MITSURU-	
-	5	10	12	"[HCN]
12"	5	11	12	"[HCN]
12"	155	HARDSTYLE	SOLID STATE SQUAD	kors k Vs. L.E.D.	
-	5	8	10	-	5	8	11	-	185	EMO	Sorrows	Asako Yoshihiro	
-	5	7	9	-	5	8	9	-	128	J-HOUSE	Special One	kors k feat. Suzuyo Miyamoto	
-	6	8	11	-	6	8	10	-	185	DRUM & BASS	THE LAST STRIKER	L.E.D.	
-	4	8	10	-	6	9	11	-	150	EPIC TRANCE	The Story Begins	SADA & Sota	
-	3	"[CN]
6"	"[CN]
8"	-	"[CN]
4"	"[CN]
7"	"[CN]
9"	-	170	INSANIO	かずあそび	CULTVOICE by S.S.D.PRODUCTS	
-	5	8	9	-	5	8	9	-	148	J-POP	コスモス	TSU-NA	
2	4	6	8	10	6	7	8	10	111	WORLD/ELECTRONICA	サヨナラ・ヘヴン	猫叉Master	
-	4	8	10	-	3	9	10	-	140	WORLD/ELECTRONICA	水上の提督(Short mix from "幻想水滸伝V")	猫叉Master	
-	6	8	9	11	5	7	10	11	182	POPS	たからもの	セリカ＆エリカ	
-	4	7	8	-	4	6	8	-	164	DISTORTED NEW AGE	バビロニア	劇団レコード	
-	"[CN]
4"	"[CN]
7"	"[CN]
9"	-	"[CN]
4"	"[CN]
8"	"[CN]
10"	-	132	STARPOP	未来のプリズム	星野奏子	
-	6	10	12	-	6	10	12	-	※	VALSE	ワルツ第17番 ト短調”大犬のワルツ”	virkato	
beatmania IIDX 18 Resort Anthem ▲ ▼ △													
-	"[CN]
6"	"[CN]
8"	"[CN]
11"	-	"[CN]
5"	"[CN]
8"	"[CN]
10"	-	162	TECHNO	Aegis	IT medalion	
3	6	10	12	-	6	9	11	-	185	HARD RENAISSANCE	ALBIDA	DJ YOSHITAKA	
-	4	7	10	-	5	7	9	-	156	STARPOP	Answer	星野奏子	
-	5	9	11	-	6	10	11	-	151	LATIN TEK	ANTHEM LANDING	DJムラサメ	
-	5	9	11	-	5	9	11	-	170	HARDCORE	Believe In Me	Uraken feat. Calyn Tsukishima	
-	"[CN]
5"	"[CN]
8"	"[CN]
10"	"[CN]
11"	"[CN]
5"	"[CN]
8"	"[CN]
10"	"[CN]
11"	145	CROSSOVER HOUSE	BLUST OF WIND	Anemo=Aspel by MLREC.	
-	5	9	11	-	5	9	11	-	116	DANCEHALL	Bounce Bounce Bounce	kors k feat.Kanata Okajima＆楽天斎	
-	5	8	10	-	5	8	10	-	166	HARDCORE	Breaking the ground	Art of Fighters	
-	5	9	12	-	5	9	12	-	148	TRANCE	Broken	dj TAKA feat.AiMEE	
-	6	9	11	-	6	10	11	-	162	SYMPHONIC-TEK	BROKEN EDEN	MYTHOLOGIA by MLREC.	
