SP					DP				BPM	GENRE	TITLE	ARTIST	
B	N	H	A	L	N	H	A	L					
beatmania IIDX ▼ △													
-	6	8	10	"[HCN]
11"	6	8	11	"[HCN]
11"	60-144	EPIC TRANCE	ABSOLUTE	dj TAKA	
-	5	9	10	-	6	8	-	-	155	SPEED RAVE	B4U	NAOKI	
-	5	7	9	-	4	7	10	-	160	HYPER EUROBEAT	Broken My Heart	NAOKI feat.PAULA TERRY	
-	4	4	7	-	4	4	8	-	155	EURO GROOVE	Burnin' The Floor	NAOKI	
-	7	9	11	-	7	11	11	-	108-216	HIP HOP	CHECKING YOU OUT	good-cool feat. JP Miles	
-	4	5	9	"[HCN]
11"	3	4	9	"[HCN]
11"	148	DUTCH TRANCE	Clione	kors k	
-	6	9	10	-	6	12	12	-	148	TECHNO	DXY!	TaQ	
-	5	7	8	-	4	11	-	-	※	DRUM'N'BASS	empathy	TaQ	
-	5	8	9	-	4	8	12	-	90-180	DRUM'N'BASS	era (step mix)	TaQ	
-	2	5	-	-	5	7	-	-	70-93	AMBIENT	FLOWERS for ALBION	dj TAKA	
-	3	4	6	-	4	6	7	-	132	DANCE POP	HIGHER	NM feat. Sunny	
-	4	6	7	9	5	9	9	10	137	WARP HOUSE	Hitch Hiker2	good-cool	
-	6	7	8	-	4	6	-	-	145	WARP HOUSE	Jam&Marmalade	FinalOffset	
-	5	6	10	-	5	7	10	-	130	TECHNO	KAMIKAZE	dj nagureo	
-	4	4	7	-	4	6	8	-	144	TRANCE	LOVE WILL・・・	riewo	
-	3	8	9	-	3	9	12	-	141	MINIMAL	minimalian	DETROIAN	
-	4	5	10	-	4	5	10	-	128	DANCE POP	Mr.T.(take me higher)	Risky Men feat.Asuka-M	
2	5	8	9	-	5	8	12	-	182	HAPPY HARDCORE	starmine	Ryu☆	
-	3	6	10	-	6	10	12	-	120	LOUNGE HOUSE	SWEET LAB	DJ SIMON	
-	5	7	8	-	5	11	-	-	30-125	BIG BEAT	Voltage (feat. Hidemaru)	TaQ	
-	5	8	10	-	4	7	9	-	250	GABBA	250bpm	AKIRA YAMAOKA	
beatmania IIDX 5th style ▲ ▼ △													
-	5	7	8	-	7	8	9	-	142	INTELLIGENCE	Abyss	dj TAKA	
-	5	6	7	-	5	8	10	-	142	TRANCE	in my eyes	ric	
-	4	5	6	-	4	5	-	-	150	HYPER EUROBEAT	LOVE AGAIN TONIGHT～for Mellisa mix～	NAOKI feat.PAULA TERRY	
-	5	6	8	-	5	7	10	-	149	TECHNO	outer wall	sampling masters MEGA	
-	5	8	10	-	10	12	-	-	155	TECHNO	QQQ	TaQ	
-	5	6	7	-	6	11	10	-	114	BIG BEAT	Radical Faith	TaQ	
-	5	8	9	-	7	9	11	-	200	DRUM'N'BASS	Real	Aya	
-	6	9	10	-	6	10	11	-	120-128	INSTRUMENTAL	Regulus	DJ.W	
-	4	5	8	"[HCN]
10"	5	8	9	"[HCN]
10"	180	POWER FUSION	RIDE ON THE LIGHT (HI GREAT MIX)	Mr.T	
