title,artist,genre,bpm,sp_b_level,sp_n_level,sp_h_level,sp_a_level,sp_l_level,dp_n_level,dp_h_level,dp_a_level,dp_l_level,sp_b_notes,sp_n_notes,sp_h_notes,sp_a_notes,sp_l_notes,dp_n_notes,dp_h_notes,dp_a_notes,dp_l_notes
Summerlights(IIDX Edition),DJ Noriken,HARDCORE RAVE,175,-,6,9,12,-,6,9,12,-,-,581,949,1580,-,583,960,1654,-
Super Rush,kors k,HARDTEK,190,-,6,9,12,-,6,9,12,-,-,523,953,1791,-,574,1007,1719,-
Surf on the Light,Tomoyuki Uchida,ELECTRO FUSION,60-160,-,4,8,10,-,4,8,10,-,-,399,760,1154,-,412,880,1198,-
The Commanders,USAO,HARDSTYLE,150,-,5,8,10,-,5,8,11,-,-,486,764,1227,-,485,803,1282,-
(This Is Not) The Angels,Hommarju,BIG BEAT/BREAKBEATS,33-130,-,4,8,11,-,5,8,11,-,-,309,739,1364,-,372,776,1304,-
TOGAKUSHI,SETUP,HARD TRANCE,152,-,5,10,12,-,5,10,12,-,-,526,987,1343,-,493,920,1333,-
Umbral,Maozon,UPLIFTING TRANCE,138,-,3,7,10,12,3,7,10,12,-,311,720,966,1566,314,675,1032,1512
Venom,kors k vs L.E.D.-G,JUMP UP/HARDCORE,190,-,6,10,12,-,7,10,11,-,-,656,1110,1624,-,641,1106,1451,-
Vermilion,Remo-con,HARD HOUSE,143,-,5,8,10,-,5,8,10,-,-,460,704,1043,-,459,678,1055,-
Warrior,DJ CHUCKY feat. Jonjo,MAINSTREAM HARDCORE,175,-,5,8,10,-,5,9,10,-,-,517,914,1257,-,512,880,1251,-
XINOBIKILL,SOUND HOLIC feat. Nana Takahashi,CYBER JAZZSTEP,164,-,6,9,11,-,5,9,11,-,-,506,910,1475,-,558,1074,1566,-
yamabiko (SINOBUZ Edition),かめりあ,夏の夕暮れと、DUBSTEP。,154,-,5,8,11,-,5,8,11,-,-,499,823,1345,-,480,836,1299,-
Yellow Sketch(RX-Ver.S.P.L.),高田雅史,ALTERNATIVE ELECTRO,176,-,4,9,11,-,4,9,11,-,-,389,943,1479,-,387,1010,1545,-
イザナミノナゲキ,猫叉Master,WORLD/ELECTRONICA,195,-,6,9,12,-,6,9,12,-,-,605,1007,1661,-,637,962,1769,-
焔極OVERKILL,RoughSketch Vs. L.E.D.-G,HARDCORE,192,-,6,10,12,-,7,10,12,-,-,598,1118,1901,-,672,1252,1984,-
禍根,U1 overground,ORBITALIC FUTURE BASS,170,-,5,9,11,-,5,9,11,-,-,411,704,1336,-,427,753,1219,-
鴉,L.E.D.-G,CROSSBREED,190,-,7,10,11,-,7,10,11,-,-,763,1136,1356,-,741,1130,1346,-
九尾狐夜行,天狐,ORIENTAL FUSION,145,-,5,9,12,-,5,9,12,-,-,438,912,1521,-,456,948,1530,-
恋はどう？モロ◎波動OK☆方程式!!,あべにゅうぷろじぇくと feat. 佐倉紗織 produced by ave;new,理系ポップ,128,-,5,8,10,-,5,8,10,-,-,518,805,1247,-,513,775,1028,-
獅子霞麗ノ舞,HuΣeR,DRAMATIC WALTZ,100,-,4,6,9,-,3,6,9,-,-,252,550,873,-,250,526,938,-
忍恋花,黒脛,忍歌,189,-,5,9,11,-,5,9,11,-,-,515,867,1141,-,508,856,1330,-
〆,lapix,HiTECH,160,-,6,9,12,-,6,10,12,-,-,657,1198,1877,-,665,1198,1933,-
次葉 -turn the page-,小寺可南子,POP ROCK,180,-,4,8,10,-,4,8,10,-,-,427,716,1003,-,427,693,1073,-
ちらちら・はらはら,NU-KO,ACEDIA,180,-,3,5,7,-,2,5,7,-,-,207,475,715,-,203,483,742,-
津軽雪,罠師 VS 安室,MICHINOKU,160,-,7,10,12,-,7,10,12,-,-,784,1137,1953,-,844,1165,2101,-
月雪に舞う華のように,猫叉Master,FOREST SNOW,70-125,-,5,7,10,-,5,8,10,-,-,437,683,1083,-,446,722,1053,-
ディッシュウォッシャー◎彡おいわちゃん,ARM×狐夢想 feat. 山本椛,ネオスカ電波,210,-,3,7,11,-,4,7,11,-,-,366,736,1280,-,386,761,1292,-
童話回廊,DJ TOTTO,空想ファンタジーシリーズ,262,-,5,9,12,-,5,9,12,-,-,484,905,1592,-,483,912,1478,-
刃図羅,猫叉Master vs HuΣeR,LAST ARTS,165,-,6,10,12,-,6,10,12,-,-,626,1082,1746,-,590,1089,1790,-
焱影,RoughSkreamZ feat.楽天斎,HIP HOP,136,-,5,9,12,-,6,9,12,-,-,366,723,1437,-,440,780,1431,-
¡Viva!,Ryu*,TRIBAL HOUSE,135,-,5,8,10,-,4,9,11,-,-,492,825,1014,-,444,838,1206,-
冬椿 ft. Kanae Asaba,Xceon,HYPER ENKA POP,155,1,5,7,10,11,5,7,10,11,131,482,633,1146,1535,474,621,1114,1509
#MAGiCVLGiRL_TRVP_B3VTZ,DJ Noriken,NEON/TWERKCORE,100,-,6,9,12,-,6,9,11,-,-,588,991,1753,-,592,956,1500,-
AA -rebuild-,D.J.Amuro,RENAISSANCE,174,-,7,10,12,-,7,10,12,-,-,646,1253,1820,-,712,1192,1752,-
Abraxas,SYUNN,DUBSTEP,165,-,5,9,11,-,5,9,11,-,-,403,844,1241,-,414,921,1254,-
ACCELERATE,Sota Fujimori,SYNTH-TECH,153,-,6,8,10,-,5,8,10,-,-,597,895,1261,-,561,869,1328,-
Alpheratz,Xceon,PIANO TRANCE,154,-,2,5,9,-,3,5,9,-,-,218,519,1049,-,281,574,1023,-
Amor De Verão,かめりあ feat. ななひら,熱帯 THE BASS,138,-,4,8,11,-,5,8,11,-,-,404,728,1193,-,452,729,1206,-
ANAGMA,C-Show,PSY TECH DANCE,150,-,5,8,10,-,5,8,10,-,-,522,925,1339,-,520,952,1327,-
ANCHOR,"BEMANI Sound Team ""HuΣeR Vs. SYUNN""",STYLISH CROSSOVER,180,-,7,10,12,-,7,10,12,-,-,680,1288,1835,-,678,1265,1830,-
Antigravity,t+pazolite,HARDCORE DANCE SPEED,222,-,6,10,12,-,6,9,12,-,-,535,1043,1591,-,558,1001,1467,-
Arca,"BEMANI Sound Team ""Akhuta Works""",GENESIS,185,-,5,9,12,-,5,9,12,-,-,468,961,1602,-,485,975,1606,-
Around the Future,Maozon vs. C-Show,CYBERCORE,162,-,6,9,11,-,6,9,11,-,-,561,892,1329,-,570,942,1385,-
Back Spin Sweeper,DJ TOTTO,WAGON WHEEL TRANCE,155,-,6,9,11,-,6,9,11,-,-,438,717,1156,-,442,778,1205,-
Battleground,kors k,SCHRANZ,165,-,6,9,11,-,6,9,11,-,-,595,968,1361,-,587,900,1304,-
Be a Hero!,中島由貴,DIGITAL THRASH PUNK,190,-,4,9,11,-,5,9,11,-,-,394,1006,1592,-,494,921,1627,-
Best of Me,Maozon,CYBER LIQUID FUNK,177,-,4,8,10,-,4,8,10,-,-,413,810,1127,-,409,761,1121,-
Boomy and The Boost,Eagle,NEO JUNGLE,174,2,6,9,12,-,6,9,12,-,211,538,1042,1826,-,576,1088,1798,-
Break Stasis,Hommarju & Akira Complex,DRUMSTEP/HARDCORE,184,-,6,9,10,-,6,9,10,-,-,673,980,1274,-,670,990,1282,-
ChaserXX,HuΣeR,CYBERNETICS PIANO HOUSE,140,-,6,9,11,12,6,9,11,12,-,560,988,1453,2000,571,953,1410,1957
Chemical Cookie,YUC'e,FUTURE BASS,180,-,5,8,10,-,5,8,11,-,-,419,739,1081,-,389,724,1061,-
City Never Sleeps (IIDX EDITION),Dirty Androids,DRUM&BASS,178,-,7,9,11,-,7,9,11,-,-,668,977,1344,-,666,979,1377,-
COSMIC☆WONDER☆REVOLUTION,猫叉Master+,COSMIC POP,152,-,4,7,9,-,5,7,9,-,-,389,722,1049,-,438,694,1026,-
DEADHEAT,DJ Myosuke,HARDCORE,200,-,6,10,12,-,7,10,12,-,-,606,1066,1721,-,611,1074,1757,-
DEATH†ZIGOQ ～怒りの高速爆走野郎～,"L.E.D.ALiCE(DJ NAGAI Vs. BEMANI Sound Team ""L.E.D.-G"")",世紀末コア,200,-,7,10,12,12,7,10,12,12,-,710,1272,2075,2459,732,1262,1999,2459
DropZ-Line-,Getty vs. DJ DiA,PUMPCORE,50-400,-,7,10,12,-,7,10,12,-,-,696,1101,1648,-,677,1040,1771,-
Eine Haube ～聖地の果てにあるもの～,AIKO OI,VELLUM,170,-,5,8,11,-,5,9,12,-,-,493,728,1321,-,503,765,1346,-
EMERALDAS,"BEMANI Sound Team ""HuΣeR vs dj Hellix""",IRREGULAR DJENT STEP,88-176,3,7,11,12,-,7,11,12,-,265,704,1258,1833,-,691,1293,1763,-
encounter,猫叉Master+,DRUM'N'BASS,190,-,5,9,12,-,5,9,12,-,-,494,907,1679,-,505,886,1709,-
Exhaust Hype,DJ Noriken,HARD BASS HOUSE,147,-,5,9,11,-,5,9,11,-,-,523,994,1426,-,503,963,1393,-
Expanded !!,"BEMANI Sound Team ""Expander""",MIDDLE EASTERN TWERK,200,-,4,8,10,-,4,8,10,-,-,341,788,1324,-,341,759,1377,-
Fervidex,Feryquitous,ARTCORE,191,-,5,9,11,-,5,9,11,-,-,432,915,1361,-,427,912,1397,-
FREEDOM,USAO,HYPER DUBSTEP,150,-,5,8,11,-,5,8,11,-,-,511,880,1481,-,507,852,1482,-
From Time To Time,sanodg,TECH HOUSE,140,-,4,9,10,-,4,10,11,-,-,404,983,1293,-,404,983,1293,-
FUTURE is Dead,C-Show,HOLIC,※,-,5,8,11,-,5,8,11,-,-,467,767,1151,-,443,740,1095,-
Get Up! feat. Kanae Asaba,MK,TROPICAL HOUSE,130,-,3,7,9,-,4,7,9,-,-,296,645,966,-,341,686,1000,-
HAT TRICK,P*Light,HANDZ STYLE,150,-,5,8,10,-,5,8,10,-,-,438,732,1118,-,465,777,1215,-
Hella Deep,MASAYOSHI IIMORI,FREE STYLE,132-150,-,4,7,10,-,4,8,10,-,-,325,538,959,-,328,554,959,-
HYPE THE CORE,DJ CHUCKY,GABBA,190,-,6,10,11,-,7,10,12,-,-,565,1044,1539,-,564,1046,1871,-
I Love You,O/iviA,EURO TRANCE,170,-,5,9,11,-,5,9,11,-,-,540,970,1381,-,536,971,1379,-
Illusionary Waterlily,DJ Noriken,EMOTIONAL RAVE EUPHORIA,180,-,6,10,12,-,6,10,12,-,-,667,1164,1803,-,687,1225,1740,-
Initiation,"BEMANI Sound Team ""謎の勢力""",00's TECHNO,160,3,7,10,12,-,7,10,12,-,330,762,1277,2018,-,817,1338,2018,-
"Life Is A Game ft.DD""ナカタ""Metal",RoughSketch,UPTEMPO HARDCORE,195,-,6,10,12,-,7,10,12,-,-,642,999,1775,-,698,1169,1667,-
LUV DRIVE,RoughSketch feat.Aikapin,POPCORE,188,-,5,7,10,-,5,7,10,-,-,419,683,1075,-,480,670,1103,-
MAXIVCORD,"BEMANI Sound Team ""dj TAKA""",ADMIRABLE,154,-,5,9,11,-,5,9,11,-,-,413,752,1256,-,418,771,1175,-
Midnight Lady,Dirty Androids,NU 80's DISCO FUNK,128,-,4,6,9,-,4,6,9,-,-,323,596,979,-,325,572,1035,-
n'pa pa BBQ,YUC'e,FUTURE TERROR,300,-,4,8,11,-,5,8,11,-,-,469,892,1408,-,531,909,1423,-
NITROUS CANNON,かめりあ,MACHINEGUN PSYSTYLE,169,-,7,10,12,-,7,10,12,-,-,713,1055,1875,-,696,1054,1852,-
No Limit 2 dAnce feat. 大山愛未,Y&Co.,HYPER TECHNO,155,-,5,8,11,-,5,8,11,-,-,495,793,1182,-,479,770,1145,-
Nothing but Theory,lapix,ULTRA JAZZFUNKTION,160,-,5,8,11,12,6,9,11,-,-,556,811,1438,1890,601,910,1397,-
O/D*20,Ryu*,TECHNO,155,-,6,8,10,12,6,10,11,12,-,581,854,1071,1984,659,1013,1246,2049
Only for now,RINA SOUND PRODUCE:KAZUYA TAKASE,PSYCHDELIC TRANCE,150,-,4,8,10,-,5,8,10,-,-,459,797,1138,-,503,807,1128,-
Papilio ulysses,"BEMANI Sound Team ""SYUNN""",DRUMSTEP,180,-,7,10,12,-,7,10,12,-,-,614,1080,1498,-,619,1069,1452,-
Persephone,Massive New Krew,HARDSTYLE,155,-,6,9,12,-,6,10,12,-,-,690,1007,1539,-,669,1142,1573,-
Rampage,USAO,HARDCORE,195,-,6,10,12,-,7,10,12,-,-,653,1257,1831,-,648,1253,1983,-
Raspberry Railgun,OSTER project,PANIC FUSION,142,-,7,10,12,-,7,10,12,-,-,719,1155,1606,-,673,1067,1694,-
REVOLVER,sky_delta,Hi-TECHDANCE,160,-,5,8,11,12,5,8,11,12,-,471,844,1405,1731,456,833,1374,1715
Sleepless days,猫叉Master feat.Mayumi Morinaga,THE WORLD EVOLVE,188,-,4,6,9,-,4,6,9,-,-,255,456,788,-,260,455,789,-
Slipstream,lapix,FUTURE CORE,175,-,5,9,12,-,5,9,12,-,-,546,1054,1822,-,566,1001,1717,-
SPEED DEMON,GUHROOVY feat. NO+CHIN,HARDTEK,190,-,5,8,10,-,5,8,11,-,-,379,736,1198,-,422,731,1266,-
STARLIGHT JUNCTION,SOUND HOLIC feat. Nana Takahashi,HEAV'NLY TRANCE,160,-,4,8,10,11,4,8,10,11,-,454,816,1150,1462,415,791,1211,1492
Static State,Nhato,ELECTRO TRANCE,138,-,6,9,10,-,6,9,10,-,-,540,912,1218,-,521,882,1196,-
Temple of Anubis,Massive New Krew,PSYSTYLE,155,-,5,8,11,-,5,8,11,-,-,517,781,1345,-,549,909,1332,-
THE CANNONBALLER,L.E.D. feat. YURiCa/花たん,EUROBEAT,170,2,6,10,11,-,6,10,11,-,244,770,1236,1748,-,753,1299,1807,-
The Chase,DJ Mass MAD Izm*,TECH BREAKS,142,-,5,10,12,-,5,10,12,-,-,359,710,1148,-,372,737,1142,-
UMMU,t+pazolite,OSHARave,180,2,6,10,11,-,7,10,11,-,220,626,1083,1587,-,673,1127,1614,-
Usual Days-remix,ota2,DANCE POP,139,-,5,9,11,-,7,10,12,-,-,558,764,1364,-,725,1147,1474,-
Xperanza,aran,HYBRID HARDCORE,200,3,7,10,12,-,7,10,12,-,276,701,1238,1637,-,690,1141,1698,-
1001 -ESCAPE-,SOUND HOLIC feat. Nana Takahashi,JAZZ ROCK,147,-,5,8,10,-,5,8,10,-,-,524,866,1327,-,538,851,1333,-
255,255,HYPER SPEED RAVE,255,-,6,9,12,-,6,9,12,-,-,469,823,1676,-,564,953,1590,-
命の標本,志方あきこ,STRANGE WORLD MUSIC,183,-,4,8,11,-,4,8,11,-,-,372,864,1358,-,372,846,1275,-
うさ☆かめ 大戦争！,ARM×狐夢想 feat. I've:柚子乃 & RINA,プログレッシブ徒競走,210,-,6,8,11,-,6,8,11,-,-,487,836,1276,-,479,809,1257,-
エディブルフラワーの独白,OSTER project feat. 常盤ゆう,HARD FRENCH,180,-,4,8,10,-,4,8,10,-,-,411,795,1110,-,414,779,1174,-
共犯ヘヴンズコード,D-Evoke(与那嶺雅人/小日向翔),ELEGANT SWING,219,-,3,7,10,-,3,7,10,-,-,258,704,1149,-,267,697,1141,-
シムルグの目醒め,"BEMANI Sound Team ""DJ TOTTO"" feat.rionos",NATURE,190,-,7,10,12,-,7,10,12,-,-,717,1211,1822,-,766,1293,1815,-
神謳 -RESONANCE-,SOUND HOLIC feat. Nana Takahashi Vs.GOD PHOENIX Prim,Hi-MYTH,180,-,7,10,12,-,7,10,12,-,-,702,1285,2047,-,725,1356,2052,-
純真可憐デザイア,"BEMANI Sound Team ""HuΣeR"" feat.Fernweh",EMOTIONAL ROCK,182,1,4,8,10,11,4,8,10,11,127,422,824,1172,1498,450,817,1124,1508
草原の王女-軌跡を辿って-,劇団レコード,JOURNEY SCENE,142,-,3,7,10,-,4,8,10,-,-,352,629,1172,-,433,722,1127,-
東京神話,"DJ TECHNORCH feat.宇宙★海月 vs BEMANI Sound Team ""U1-ASAMi""",ORBITALIC GABBER STEP,196,2,6,9,12,-,6,9,12,-,235,528,914,1505,-,500,906,1533,-
ナイトシティー・アヴァンチュール,森永真由美,歌謡ニューウェーブ,170,-,5,7,9,-,5,7,9,-,-,521,774,1047,-,511,774,1139,-
ハイ*ビスカス ft. Kanae Asaba,Xceon,YANKEE CAR J TRANCE,157,-,4,7,10,-,5,8,10,-,-,438,784,1233,-,531,772,1303,-
バスルーム ロマンス,"BEMANI Sound Team ""Saori Watanabe""",CLASSIC MOTIF,155,-,5,8,10,-,5,8,10,-,-,492,744,1228,-,494,752,1204,-
バ→ビ→ブ→Bomb!,ヒゲドライバー join. 新菜まこ & 松平なな,電波ソング,175,-,5,9,11,-,5,8,11,-,-,422,923,1294,-,431,939,1297,-
パラドキシカル・タイムリープトライアル(Short Ver.),MOSAIC.WAV,AKIBA-POP,188,-,5,9,11,-,5,9,11,-,-,529,997,1416,-,522,1013,1515,-
ラストセンチュリーメランコリック,DJ Taku aka ☆Taku Takahashi (m-flo),FUTURE J-POP,170,-,5,8,10,-,5,8,11,-,-,430,822,1108,-,434,863,1105,-
Afterimage d'automne,"BEMANI Sound Team ""猫叉劇団""",ASYMMETRY ART,232,-,6,9,11,-,6,9,12,-,-,519,879,1480,-,525,913,1554,-
BLACK JACKAL,Akira Complex,DANCE MUSIC,150,-,5,8,10,-,5,8,10,-,-,428,812,1183,-,428,813,1138,-
BLO§OM,"BEMANI Sound Team ""TAG""",BLOOM TRANCE,158,-,5,8,10,-,5,8,10,-,-,550,843,1290,-,546,815,1316,-
Carmina,CANVAS feat. Quimär,SYMPHONIC TRANCECORE,195,3,6,10,12,-,6,10,12,-,266,683,1292,2000,-,701,1273,2000,-
Carry Me Away,lapix,FUTURE CORE,175,3,7,9,12,-,6,9,12,-,268,575,933,1613,-,595,957,1568,-
Catch Our Fire!,中島由貴,MARVELOUS CHEER,190,-,6,10,12,-,6,10,12,-,-,699,1186,1885,-,691,1198,1888,-
CODE:Ø,"BEMANI Sound Team ""HEXA""",BIG BEAT,125,-,5,9,11,12,6,10,11,12,-,726,1120,1454,1829,738,1086,1382,1906
CoMAAAAAAA,Ryu☆,UPLIFTING ETHNIC,150,-,6,9,10,12,6,10,10,12,-,643,1068,1208,1957,640,1151,1304,1972
COSMIC CYBER,"BEMANI Sound Team ""Captain Sonic""",BIGCORE,170,-,5,9,11,-,6,9,11,-,-,524,862,1469,-,531,835,1325,-
Cranberry City ft. Luschel,lapix,GARAGE,138,-,5,8,10,-,5,8,10,-,-,433,816,1234,-,447,792,1272,-
dAuntl3ss,DJ Noriken,HARDER DANCE MUSIC,166,-,6,10,12,-,6,10,12,-,-,542,1018,1775,-,584,1157,1770,-
Dr. Chemical & Killing Machine,Hommarju,INDUSTRIAL TECHNO,165,-,5,9,12,-,5,9,12,-,-,567,964,1700,-,586,978,1919,-
Drastic Dramatic,KING & Princess,8BARS,166,-,7,10,12,-,7,10,12,-,-,800,1231,1765,-,782,1253,1736,-
DRUNK MONKY,DJ ODDBALL,MINIMAL,145,-,7,10,12,-,7,9,11,-,-,524,833,1177,-,593,862,1104,-
Ember Lights,Nhato,FUSION TRANCE,148,-,5,9,11,12,5,9,11,12,-,491,842,1369,1582,530,863,1296,1600
EVANESCENT,SOUND HOLIC feat. Nana Takahashi,PROGRESSIVE ROCK,127-165,-,6,10,12,-,6,10,12,-,-,661,1241,1845,-,660,1174,1820,-
Garuda,kors k,JUKE/FOOTWORK,160,-,5,9,11,-,6,9,11,-,-,541,842,1323,-,541,876,1319,-
Geirskögul,Maozon,CYBER DRUMSTEP,177,-,5,8,10,-,5,8,10,-,-,545,808,1128,-,555,745,1122,-
GENE,VINCENT GANATCH,TECHNO GRAFFITI,163,-,7,10,12,-,7,9,12,-,-,664,1009,2183,-,659,990,1986,-
GIGA THRASH,Blacklolita,DUBSTEP,150,-,6,9,11,-,7,9,12,-,-,643,970,1400,-,662,1002,1503,-
Glory,kradness,EDM,134,-,4,7,9,-,4,7,10,-,-,390,855,1185,-,376,838,1168,-
GO OVER WITH GLARE -ROOTAGE 26-,"BEMANI Sound Team ""L.E.D.-G""",HARDSTYLE,170,-,6,10,12,-,6,10,12,-,-,548,1160,2000,-,558,1129,1769,-
HARD BRAIN,AJURIKA,HARD TECHNO,155,-,6,9,12,-,6,9,12,-,-,701,1044,1914,-,706,1095,1903,-
HEISEI,"BEMANI Sound Team ""dj TAKA""",ELETRONIC RHAPSODY,152,2,6,10,11,-,6,10,11,-,190,590,992,1291,-,581,1033,1323,-
Hurry Hurry,Masayoshi Iimori,RAVE SXXX,160,-,4,6,9,-,4,6,9,-,-,380,527,1045,-,379,527,1032,-
IDC feat.REVERBEE (Mo'Cuts Ver),DJ Mass MAD Izm*,TECH-BREAKS,140,-,7,9,11,-,7,10,11,-,-,557,818,1145,-,553,779,1017,-
IDOL syndrome.,RINA,PSYCHEDELIC ROCK,145,-,4,7,10,11,4,7,10,11,-,382,738,1109,1533,397,720,1183,1567
KILL EACH OTHER,"BEMANI Sound Team ""L.E.D. VS. L.E.D.-G""",PSYSTYLE,162,-,7,10,12,-,7,10,12,-,-,711,1270,1945,-,713,1248,1889,-
L.F.O,aran,UK HARDCORE,180,-,5,9,12,-,5,9,12,-,-,444,898,1687,-,448,847,1697,-
LADYBIRD,YUC'e,GLITCH HOP,230,-,7,9,11,-,7,9,11,-,-,572,865,1258,-,601,894,1253,-
Let me be your cure,Pizuya's Cell,ELECTRIC DANCE ROCK,192,-,5,7,10,-,5,8,10,-,-,573,718,1344,-,631,879,1354,-
Lethal Weapon,"BEMANI Sound Team ""HuΣeR""",RECKLESS HARDCORE,90-180,-,6,9,12,-,6,9,12,-,-,598,961,1646,-,597,1053,1684,-
Level One,Yamato,Drumstep / DnB,173,-,6,10,12,-,7,10,12,-,-,647,1182,1857,-,750,1149,1872,-
Lift Us High,"BEMANI Sound Team ""Sota Fujimori""",MELODIC TRANCE,150,-,5,8,10,-,5,8,10,-,-,494,808,1247,-,490,777,1252,-
LOST TECHNOLOGIE,かめりあ,TECHNO,157,-,5,9,12,-,5,9,12,-,-,590,984,1822,-,644,1009,1849,-
Mächö Mönky,kors k,JUNGLE TERROR,150,-,6,10,12,-,6,10,12,-,-,754,1123,1588,-,643,1100,1522,-
Necroxis Girl,"BEMANI Sound Team ""HuΣeR""",GLITCH DUBSTEP,150,-,6,9,11,-,6,9,12,-,-,601,1027,1441,-,558,962,1505,-
"Next Tales 2 Oath (IIDX 20th Anniv ""Ring"" Theme)",Hommarju,THEME SONG,180,-,5,9,11,-,5,8,11,-,-,457,847,1387,-,519,820,1415,-
Night! Night! Night!,MM,EURO DYNAMITE,165,-,6,9,11,-,6,9,12,-,-,609,931,1540,-,590,917,1486,-
ONIGOROSHI,m1dy,TOKYO STYLE SPEEDCORE,400,-,6,10,12,-,6,10,12,-,-,597,1107,1541,-,584,1107,1503,-
OVER TIME,空中分解feat.アンテナガール,ELECTRO POP,134,-,3,5,8,10,3,6,9,10,-,293,492,779,1013,262,556,841,1032
Painful Fate,"BEMANI Sound Team ""猫叉Master""",DRUM'N'BASS,192,-,7,10,12,-,7,10,12,-,-,642,1178,1702,-,683,1112,1677,-
Playing With Fire,kors k,SPEED RAVE,160,-,6,9,11,-,6,9,11,-,-,512,866,1200,-,516,814,1113,-
Psycho Sheep Riddim,"BEMANI Sound Team ""SYUNN""",RIDDIM DUBSTEP,150,-,3,7,9,11,3,7,9,11,-,324,512,841,1150,330,509,842,1091
Red. by Jack Trance,DJ Mass MAD Izm*,TECH-BREAKS,160,-,7,10,12,-,7,10,12,-,-,770,1122,1862,-,735,1129,1612,-
REPLAY,SLAKE,TECHNO,140,-,4,8,10,-,6,9,11,-,-,478,840,1141,-,820,973,1505,-
"ROCK女 feat. 大山愛未, Ken",Y&Co.,TRANCE,150,-,7,9,11,-,7,9,11,-,-,548,954,1436,-,561,997,1435,-
R∞tAge,"BEMANI Sound Team ""HuΣeR+""",NEO J-TEKNO,150,3,5,8,11,-,5,8,11,-,273,565,850,1503,-,569,1058,1459,-
ruin of opals,上ノ瀬つかさ,IRIDESCENCE JAZZ ETUDE,220-390,-,6,10,12,-,6,10,12,-,-,533,1016,1646,-,537,1012,1604,-
SPEED ROCKER,AJURIKA,PSYCHEDELIC TRANCE,145,-,4,9,10,-,4,9,10,-,-,464,879,1175,-,491,874,1214,-
Technicolour Dreams,DUNE & M-Project & GUHROOVY,HDM,170,-,5,8,10,-,5,8,10,-,-,474,722,1202,-,454,708,1209,-
The Best of Both Worlds,"☆Taku Takahashi (m-flo, block.fm)",EUROTRAPBEAT,160,-,3,8,10,-,3,8,10,-,-,301,726,1128,-,303,732,1211,-
THE DAY OF JUBILATIONS,"BEMANI Sound Team ""S-C-U vs L.E.D.""",HARD ELECTRIC POP,181,-,7,10,12,-,7,10,12,-,-,794,1234,1757,-,771,1223,1883,-
The Rebellion of Sequencer,DJ Myosuke,DJENTCORE,300,-,7,10,12,-,7,10,12,-,-,646,1054,1634,-,640,1041,1628,-
toy boxer,"BEMANI Sound Team ""S-C-U & SYUNN""",BOXINGCORE,190,-,4,8,10,-,4,8,10,-,-,390,725,1122,-,401,743,1149,-
ToyCube Pf.(RX-Ver.S.P.L.),高田雅史,NEW AGE,137-180,-,4,7,9,-,7,9,11,-,-,379,789,1153,-,575,1038,1395,-
Trill auf G,"BEMANI Sound Team ""dj TAKA""",MUSIC GAMES HARDCORE,188,-,6,10,12,-,6,10,12,-,-,586,1098,1670,-,577,1059,1610,-
Twilight Warp,Maozon feat. Kyte,CYBER DANCE MUSIC,145,-,4,7,9,-,4,7,9,-,-,483,741,1083,-,483,740,1110,-
Unbelief,"BEMANI Sound Team ""Anonymous""",METAL,135,-,5,10,12,-,6,10,12,-,-,570,1113,1675,-,661,1092,1716,-
UNDERWORLD HOLOGRAPHY,"BEMANI Sound Team ""L.E.D."" feat. KOTOKO",DRUM & BASS,187,-,5,9,11,-,5,9,11,-,-,580,1081,1648,-,578,1138,1644,-
Urban Constellations,Dirty Androids,JAZZY FOOTWORK JUNGLE,167,-,4,8,11,-,4,8,11,-,-,362,771,1167,-,372,761,1261,-
Visterhv,Feryquitous,REBIRTH OUT,191,-,6,10,12,-,6,10,12,-,-,642,1152,1869,-,637,1159,1782,-
voltississimo,"BEMANI Sound Team ""PHQUASE""",VVV,225,-,6,10,12,-,6,10,12,-,-,613,1135,1888,-,613,1146,1824,-
Wing of Hearts,USAO & DJ Nanashi,HYPER HANDS UP,187,-,5,8,10,-,5,8,11,-,-,567,916,1473,-,565,918,1477,-
Wolf 1061,Xceon,PIANO TRANCE,173,-,4,8,11,-,5,9,11,-,-,516,872,1584,-,572,936,1514,-
Wonderland,kors k,CANDY RAVE GABBER,180,-,5,9,11,-,5,9,11,-,-,542,957,1393,-,533,901,1392,-
XENON II ～TOMOYUKIの野望～,Mr.T,ELECTRO SHOCK,160,-,6,9,11,-,6,9,11,-,-,601,915,1523,-,609,911,1482,-
Xlø,sasakure.UK,NEUTRONIKA,165,-,7,10,12,-,7,10,12,-,-,776,1304,1988,-,708,1304,1936,-
Yum Yum Jelly,YUC'e,FUTURE BASS,180,-,5,9,11,-,5,9,11,-,-,398,799,1204,-,436,820,1236,-
ZENDEGI DANCE,"ARM×BEMANI Sound Team ""U1 overground""",ORBITALIC ORIENTAL ELECTRO,160,-,6,9,11,-,6,9,11,-,-,602,935,1393,-,587,922,1378,-
50th Memorial Songs -Beginning Story-,BEMANI Sound Team,ANNIVERSARY,135,2,4,8,10,-,4,8,11,-,162,417,846,1378,-,433,867,1468,-
50th Memorial Songs -Flagship medley-,BEMANI Sound Team,ANNIVERSARY,135-175,2,5,8,10,-,5,8,10,-,192,496,786,1157,-,481,785,1148,-
50th Memorial Songs -二人の時 ～under the cherry blossoms～-,BEMANI Sound Team,ANNIVERSARY,160,3,5,8,10,-,5,8,10,-,283,621,834,1311,-,623,829,1317,-
