title,artist,genre,bpm,sp_b_level,sp_n_level,sp_h_level,sp_a_level,sp_l_level,dp_n_level,dp_h_level,dp_a_level,dp_l_level,sp_b_notes,sp_n_notes,sp_h_notes,sp_a_notes,sp_l_notes,dp_n_notes,dp_h_notes,dp_a_notes,dp_l_notes
I Was The One (80's EUROBEAT STYLE),good-cool Remixed by NAOKI,EUROBEAT,142,-,4,6,7,-,4,6,8,-,-,397,685,727,-,439,518,725,-
Karma,TaQ,DRUM'N'BASS,※,-,6,9,10,-,8,11,12,-,-,668,839,925,-,797,1085,1267,-
lights,flare,SOUL,142,-,3,6,8,-,7,9,10,-,-,357,753,910,-,635,927,995,-
Logic Board,dj nagureo,TECHNO,130,-,5,8,11,-,6,8,12,-,-,529,907,1173,-,529,906,1697,-
LOVE♡SHINE,小坂りゆ,J-HAPPY HARDCORE,177,3,5,9,10,-,4,7,9,-,270,433,921,1046,-,427,673,960,-
lower world,D.J.SETUP,TECHNO,155,-,6,9,10,-,7,10,12,-,-,706,979,1144,-,705,981,1254,-
Make A Difference,Lala Moore with CoCoRo*Co,GOSPEL,130,-,5,9,10,-,5,9,10,-,-,445,846,1155,-,441,866,1202,-
MARIA (I believe... ),NAOKI feat.PAULA TERRY,EUROBEAT,158,-,4,8,9,-,4,8,9,-,-,375,804,983,-,375,861,983,-
moon_child,少年ラジオ,POST ROCK,130-160,-,5,10,12,-,4,11,12,-,-,533,1026,1300,-,510,1049,1661,-
one or eight,sampling masters AYA,HARDCORE RAVE,155,-,7,10,12,-,7,8,10,12,-,695,985,1177,-,632,790,1110,1426
PARANOIA survivor MAX,290,JUNGLE MIXTURE,73-290,-,5,8,10,-,5,8,10,-,-,497,677,1092,-,485,671,1091,-
quasar,OutPhase,TRANCE,155,-,6,9,11,-,7,11,12,-,-,591,901,1161,-,710,1056,1562,-
Quickening,dj TAKA,PSYCHEDELIC,150,-,5,9,10,-,5,7,10,-,-,478,875,1062,-,440,620,1044,-
Really Love,大部真由美,R&B,100,-,4,6,10,-,4,10,-,-,-,333,506,898,-,333,861,-,-
RISLIM -Remix-,ric Remixed by Hisashi Nawata,ELECTRO 2 STEP,132,-,4,6,11,-,6,9,12,-,-,405,508,959,-,521,817,1151,-
rottel-the-Mercury,sampling masters MEGA,GABBA,200,-,6,9,10,-,6,9,11,-,-,503,963,1137,-,634,924,1132,-
Silvia Drive,dj TAKA feat.Noria,HAPPY HANDBAG,129,-,4,8,9,-,7,10,11,-,-,429,790,1049,-,687,946,1364,-
SNOW,RAM,DRUM'N'BASS,180,-,5,7,10,-,5,8,10,-,-,534,704,1038,-,598,762,1037,-
STAR FIELD,SADA,TRANCE,140,-,4,8,9,-,5,8,-,-,-,351,806,947,-,351,793,-,-
Sweet Sweet♡Magic,jun,HAPPY HARDCORE,180,-,5,8,10,-,5,9,11,-,-,509,784,1032,-,519,786,1055,-
SWEETEST SAVAGE,ASLETICS,HIPHOP,114,-,4,7,11,-,6,7,11,-,-,335,704,930,-,551,702,965,-
真夏の花・真夏の夢,Sana,HOUSE,130,-,4,6,9,-,5,8,10,-,-,420,603,749,-,580,771,961,-
ライオン好き,AKIRA YAMAOKA,ボデー,146,-,4,5,7,-,3,6,-,-,-,329,600,755,-,329,614,-,-
ALIEN TEMPLE,PINK PONG,PSYCHEDELIC TRANCE,145,-,5,7,8,-,5,8,10,-,-,505,839,1021,-,649,954,1084,-
ASTRAL VOYAGE,EeL,DREAM TECHNO,136,-,5,6,9,-,5,9,10,-,-,510,727,971,-,523,731,1087,-
BABY LOVE,Noria,ITALO POP,160,-,6,7,10,-,6,7,11,-,-,598,865,1089,-,596,779,1159,-
Back Into The Light,Sota Fujimori,2STEP POP TRANCE,144,-,6,7,10,-,6,9,10,-,-,602,835,1086,-,621,828,1160,-
Boundary,SPARKER,ROCOCO TEK,160,-,4,9,9,-,5,9,9,-,-,440,930,1031,-,521,967,967,-
CARRY ON NIGHT (English version),platoniX (EURO style),EUROBEAT,158,-,5,7,9,-,5,8,10,-,-,510,702,1037,-,522,738,1088,-
Daisuke,Y&Co.,EUROBEAT,157,2,6,8,10,-,5,8,11,-,236,613,850,1205,-,660,858,1208,-
Debtty Daddy,sampling masters AYA,ETHNO HARDCORE,155,-,5,9,11,-,5,8,11,-,-,533,1008,1371,-,533,1008,1607,-
desolation,Mr.T,PIANO BALLADE,72,-,2,4,5,-,3,4,-,-,-,245,331,386,-,245,386,-,-
DoLL,TЁЯRA,HYPER J-POP FOUR,170,2,5,6,7,-,6,7,9,-,175,478,626,810,-,478,645,923,-
EXE,Mr.T,ELECTROSHOCK,158,-,4,8,10,-,4,8,-,-,-,448,829,1131,-,450,854,-,-
Feedback,Audio Highs,BREAK BEATS,140,-,5,8,10,-,5,10,10,-,-,548,836,1010,-,550,838,984,-
FEEL IT,RAM,DRUM'N'BASS,180,-,5,9,10,-,5,9,10,-,-,474,888,1013,-,573,1002,1119,-
Freezing atmosphere,Twin AmadeuS,NATURAL SOUND,135,-,4,6,9,-,4,8,10,-,-,416,585,775,-,418,586,776,-
GHOST REVIVAL,L.E.D.,GOA TRANCE,148,-,5,9,10,-,4,9,12,-,-,466,1049,1311,-,466,1049,1409,-
GRADIUS -FULL SPEED-,Mr.T,GAME MUSIC,160-220,-,4,8,10,-,3,7,11,-,-,385,643,1074,-,385,643,1074,-
HIGH,RAM,RAVE,180,-,5,9,9,11,6,9,10,11,-,470,975,1088,1443,692,945,1233,1501
Innocent Walls,TaQ,TECHNO,155,-,8,12,12,-,8,10,12,-,-,847,1281,1446,-,855,1140,1553,-
Love Is Eternity,kors k,TRANCE,140,-,6,9,11,-,6,10,12,-,-,622,1016,1215,-,604,1038,1417,-
Lucy,ELE BLOCK,DANCE POP,156,-,4,9,11,-,4,10,-,-,-,485,903,1167,-,484,908,-,-
Narcissus At Oasis,Ryu☆,ARTCORE,170,-,4,10,10,-,4,10,11,-,-,392,807,838,-,384,771,830,-
No.13,TAKA respect for J.S.B.,PROGRESSIVE BAROQUE,172,-,8,10,11,-,6,10,12,-,-,855,1376,1607,-,778,1185,1639,-
One More Lovely,Risk Junk,HAPPY,200,-,5,9,12,-,4,10,12,-,-,439,832,1452,-,444,862,1557,-
pandora,dj TAKA feat.Tomomi,TRANCE,148,-,5,8,9,-,7,9,11,-,-,455,852,931,-,509,805,1040,-
rainbow rainbow,Ryu☆,HAPPY HARDCORE,177,-,7,10,11,-,7,9,11,-,-,799,1156,1377,-,815,1087,1400,-
Rise'n Beauty,Sota feat. Cyborg Akemi,TRANCE,144,-,6,9,10,-,6,10,11,-,-,652,841,1094,-,683,882,1159,-
SCORE,DJ Remo-con,TECH HOUSE,140,-,5,8,10,-,5,8,10,-,-,595,812,1055,-,597,806,1105,-
SHOOTING STAR,小坂りゆ,J-POP,140,-,7,8,9,-,6,9,11,-,119,420,759,1228,-,425,738,1256,-
SPACE FIGHT,AKIRA YAMAOKA,戦艦テクノ,139,-,3,8,11,-,6,8,11,-,-,328,768,1134,-,519,765,1190,-
1st Samurai,sampling masters MEGA,お江戸テクノ,175-200,-,5,10,11,-,7,10,12,-,-,546,1016,1383,-,729,1016,1455,-
システムロマンス,ヒロシ＆チー子,ムートラ(ムードトランス),148,-,4,7,8,-,4,7,-,-,-,458,901,1023,-,457,886,-,-
雪月花,Ryu☆,HARD HOUSE,151,-,6,10,12,-,8,10,12,-,-,636,979,1287,-,867,1153,1411,-
