曲管理番号	バージョン	曲名	Diff	Lv
1460	HAPPY SKY	Pollinosis	A	11
1461	Pinky Crush	Raspberry Potion (feat.あれたん♡ & ぎゃるのしん☆)	A	11
1462	PENDUAL	Realize Maze	A	11
1463	9th style	RISLIM -Remix-	A	11
1464	SINOBUZ	ROTTERDAM SHOGUN	A	11
1465	Resort Anthem	Sakura Reflection	A	11
1466	RESIDENT	Seraph	A	11
1467	Lincle	SHADE	A	11
1468	RESIDENT	Shadow World	A	11
1469	GOLD	smile	A	11
1470	EMPRESS	smooooch・∀・	L	11
1471	Sparkle Shower	SnapSkipSpark	A	11
1472	DJ TROOPERS	SOUND OF GIALLARHORN	A	11
1473	10th style	SPACE FIGHT	A	11
1474	Pinky Crush	Stargazing Trip ～星 探す旅～ ft. 小林マナ	A	11
1475	copula	STARLIGHT DANCEHALL	A	11
1476	CANNON BALLERS	STARLIGHT JUNCTION	L	11
1477	BISTROVER	Swarm Of Scarabs	A	11
1478	DJ TROOPERS	THE DEEP STRIKER	A	11
1479	Resort Anthem	THE FALLEN	A	11
1480	DJ TROOPERS	the trigger of innocence	L	11
1481	DJ TROOPERS	Time to Air	A	11
1482	SPADA	Valgus	A	11
1483	HEROIC VERSE	VALKYRIAS -英雄誕生-	A	11
1484	CastHour	Ventriloquist	A	11
1485	CastHour	Victory Of Ravers	A	11
1486	HEROIC VERSE	Volcanic Dragon	A	11
1487	DJ TROOPERS	Wanna Party?	L	11
1488	DistorteD	waxing and wanding	A	11
1489	copula	Welcome	A	11
1490	Resort Anthem	WISE UP!	L	11
1491	Resort Anthem	XANADU OF TWO	L	11
1492	CastHour	Xyndrome	A	11
1493	DJ TROOPERS	2 tribe 4 K	A	11
1494	tricoro	朧	L	11
1495	SINOBUZ	鴉	A	11
1496	PENDUAL	恋は白帯、サンシロー	L	11
1497	BISTROVER	ここからよろしく大作戦143	L	11
1498	RESIDENT	≡+≡	A	11
1499	RESIDENT	少年リップルズ	A	11
1500	CANNON BALLERS	純真可憐デザイア	L	11
1501	SIRIUS	たからもの	L	11
1502	PENDUAL	打打打打打打打打打打	A	11
1503	EPOLIS	果たせぬ約束 ft. 小林マナ	A	11
1504	HEROIC VERSE	バッドエンド・シンドローム	A	11
1505	Lincle	ユミル	A	11
1506	Lincle	A MINSTREL ～ ver. short-scape ～	L	12
1507	CastHour	ALTERNATOR	A	12
1508	Sparkle Shower	Astra Blaze	A	12
1509	SIRIUS	Bad Maniacs	A	12
1510	PENDUAL	Beat Radiance	L	12
1511	BISTROVER	BIGソムタム	A	12
1512	EMPRESS	BITTER CHOCOLATE STRIKER	A	12
1513	HAPPY SKY	CaptivAte～浄化～	L	12
1514	PENDUAL	CHRONO DIVER -NORNIR-	L	12
1515	PENDUAL	cinder	A	12
1516	Rootage	CoMAAAAAAA	L	12
1517	PENDUAL	Despair of ELFERIA	A	12
1518	HAPPY SKY	garden	L	12
1519	GOLD	GRID KNIGHT	L	12
1520	Pinky Crush	Here We Go Now	A	12
1521	EPOLIS	JUSTICE/GUILTY feat. Nana Takahashi & 709sec.	A	12
1522	EMPRESS	Kung-fu Empire	L	12
1523	Sparkle Shower	Lisa-RICCIA	A	12
1524	copula	M4K3 1T B0UNC3	A	12
1525	SIRIUS	mosaic	A	12
1526	CastHour	One for All	A	12
1527	CANNON BALLERS	Rampage	A	12
1528	PENDUAL	Rave*it!! Rave*it!!	A	12
1529	HEROIC VERSE	Rave Patroller	A	12
1530	Sparkle Shower	Regina vespaE	A	12
1531	RESIDENT	RINИE	A	12
1532	DJ TROOPERS	Ristaccia	A	12
1533	BISTROVER	rommmo	A	12
1534	PENDUAL	Say YEEEAHH	A	12
1535	EMPRESS	Secrets	L	12
